subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Venous,Tight_junction,0.2764316995938618,0.0285714285714285,1.3645206093788147,1.6409523089726763,4,3,0.1214285714285714
Venous,BBB_transport_identity,0.1130045453707377,0.2,1.135917246341705,1.248921791712443,4,3,0.3578947368421053
Venous,Caveolae_structural,0.1472455014785131,0.0857142857142857,0.5830331295728683,0.7302786310513815,4,3,0.2241758241758241
Venous,PLVAP_permeability,-0.0246741762384772,0.1142857142857142,0.0826185857877135,0.0579444095492363,4,3,0.2428571428571428
Venous,Adhesion_trafficking,0.0859579294919967,0.4571428571428571,0.8249113708734512,0.910869300365448,4,3,0.5756613756613757
Venous,IFN_antigen_presentation,-0.0550112823645273,0.6571428571428571,0.7888951599597931,0.7338838775952657,4,3,0.72073732718894
Venous,Wnt_BBB,0.2182994596660137,0.0285714285714285,0.2740015871822834,0.4923010468482971,4,3,0.1214285714285714
Venous,TGF_response,0.0297234281897544,0.1428571428571428,0.3009518161416054,0.3306752443313598,4,3,0.2857142857142857
Venous,VEGF_response,0.1007582619786262,0.0571428571428571,0.4731253311038017,0.573883593082428,4,3,0.1942857142857142
Venous,ROS_Src,0.0317787279685338,0.4285714285714285,0.3529013246297836,0.3846800525983174,4,3,0.5756613756613757
Venous,ECM_protease,-0.0233494583517313,0.5714285714285714,0.1335738692432642,0.1102244108915329,4,3,0.6476190476190475
Venous,Mfsd2a,0.0355943062653144,0.2857142857142857,0.1257886718958616,0.161382978161176,4,3,0.4625850340136054
Venous,Cav1,0.2531142284472784,0.0857142857142857,0.7175561934709549,0.9706704219182332,4,3,0.2241758241758241
Venous,Cav2,0.0603996987144151,0.5142857142857142,0.6339121982455254,0.6943118969599406,4,3,0.6244897959183673
Venous,Plvap,0.0113210887648165,0.3142857142857143,0.02636673534289,0.0376878241077065,4,3,0.4857142857142857
Venous,Cldn5,0.4288761019706726,0.0285714285714285,2.970562279224396,3.3994383811950684,4,3,0.1214285714285714
Venous,Lsr,0.0440811067819595,0.4,0.9002647250890732,0.9443458318710328,4,3,0.5666666666666668
Venous,Abcg2,0.3865121901035309,0.0285714285714285,1.5305070579051971,1.917019248008728,4,3,0.1214285714285714
Venous,Axin2,0.0443744709094365,0.1142857142857142,0.1102046146988868,0.1545790856083234,4,3,0.2428571428571428
Venous,Reck,-0.0115348411103089,0.7714285714285715,0.2164008878171444,0.2048660467068354,4,3,0.8196428571428572
Venous,Vcam1,0.0666872362295785,0.9142857142857144,2.0198314487934117,2.0865186850229898,4,3,0.941991341991342
Venous,Icam1,0.1061476866404216,0.3428571428571428,1.4581984281539917,1.564346114794413,4,3,0.506832298136646
Venous,Cxcl9,-0.2004016836484273,0.1714285714285714,0.6016285717487335,0.4012268881003062,4,3,0.3238095238095237
Venous,Cxcl10,-0.1651296429336071,0.2857142857142857,0.5475490801036358,0.3824194371700287,4,3,0.4625850340136054
Venous,Stat1,0.1701879451672235,0.4571428571428571,0.6580963581800461,0.8282843033472697,4,3,0.5756613756613757
Venous,Irf1,0.1249384880065918,0.5428571428571428,0.8765951991081238,1.0015336871147156,4,3,0.6364532019704433
Venous,B2m,-0.3874961535135903,0.0857142857142857,3.325728178024292,2.9382320245107016,4,3,0.2241758241758241
Venous,H2-Aa,-0.2145444179574648,0.0285714285714285,0.3896835222840309,0.175139104326566,4,3,0.1214285714285714
Venous,H2-Ab1,-0.2112754210829734,0.0285714285714285,0.4034551754593849,0.1921797543764114,4,3,0.1214285714285714
Venous,Angpt2,-0.1023584951957067,0.1142857142857142,0.2622600495815277,0.159901554385821,4,3,0.2428571428571428
Venous,Esm1,-0.0191640408011153,0.0571428571428571,0.0195002742111682,0.0003362334100529,4,3,0.1942857142857142
Venous,Apln,0.0115047288127243,0.0285714285714285,0.0223472914658486,0.033852020278573,4,3,0.1214285714285714
Venous,Kdr,0.3908930122852325,0.0285714285714285,0.5416475832462311,0.9325405955314636,4,3,0.1214285714285714
Venous,Serpine1,0.0008345569173495,1.0,0.2542690560221672,0.2551036129395167,4,3,1.0
Venous,Ctgf,,,0.4672567397356033,,4,3,
Capillary,Tight_junction,0.4905704855918884,0.0285714285714285,1.2861539721488953,1.7767244577407837,4,3,0.0747252747252747
Capillary,BBB_transport_identity,0.314702312151591,0.0285714285714285,1.208627700805664,1.5233300129572551,4,3,0.0747252747252747
Capillary,Caveolae_structural,0.2233965148528417,0.0285714285714285,0.5669907182455063,0.790387233098348,4,3,0.0747252747252747
Capillary,PLVAP_permeability,-0.0027520364771286,0.7428571428571429,0.0399145651608705,0.0371625286837418,4,3,0.7892857142857144
Capillary,Adhesion_trafficking,0.0161367331941922,0.4857142857142857,0.2532822713255882,0.2694190045197804,4,3,0.5504761904761905
Capillary,IFN_antigen_presentation,-0.0152688572804132,0.9142857142857144,0.7101370841264725,0.6948682268460592,4,3,0.941991341991342
Capillary,Wnt_BBB,0.2792016491293907,0.0285714285714285,0.2873068824410438,0.5665085315704346,4,3,0.0747252747252747
Capillary,TGF_response,0.0730705236395199,0.0285714285714285,0.2880402132868767,0.3611107369263966,4,3,0.0747252747252747
Capillary,VEGF_response,0.2258592098951339,0.0285714285714285,0.4993293434381485,0.7251885533332825,4,3,0.0747252747252747
Capillary,ROS_Src,-0.0497668087482452,0.0857142857142857,0.3770184218883514,0.3272516131401062,4,3,0.1533834586466165
Capillary,ECM_protease,-0.0182822446028391,0.1142857142857142,0.06378835439682,0.0455061097939809,4,3,0.1766233766233766
Capillary,Mfsd2a,0.189837098121643,0.0285714285714285,0.508240282535553,0.698077380657196,4,3,0.0747252747252747
Capillary,Cav1,0.2956864585479101,0.0285714285714285,0.6604248732328415,0.9561113317807516,4,3,0.0747252747252747
Capillary,Cav2,0.2388054380814234,0.0285714285714285,0.6916710883378983,0.9304765264193215,4,3,0.0747252747252747
Capillary,Plvap,0.0003240419318899,0.3428571428571428,0.0010323113529011,0.0013563532847911,4,3,0.4662857142857142
Capillary,Cldn5,0.802936851978302,0.0571428571428571,2.815443694591522,3.618380546569824,4,3,0.1142857142857142
Capillary,Lsr,0.21926844616731,0.0285714285714285,0.8418947011232376,1.0611631472905476,4,3,0.0747252747252747
Capillary,Abcg2,0.6854400237401328,0.0285714285714285,1.4784330129623413,2.163873036702474,4,3,0.0747252747252747
Capillary,Axin2,0.1211283492545287,0.0285714285714285,0.1678193919360637,0.2889477411905924,4,3,0.0747252747252747
Capillary,Reck,-0.0084845398863156,0.9714285714285714,0.2698853686451912,0.2614008287588755,4,3,0.9714285714285712
Capillary,Vcam1,0.0521935621897379,0.7142857142857143,0.5179290473461151,0.570122609535853,4,3,0.7834101382488479
Capillary,Icam1,0.0478783895572026,0.4571428571428571,0.7811256796121597,0.8290040691693624,4,3,0.5504761904761905
Capillary,Cxcl9,-0.0830885817607243,0.2,0.1715671345591545,0.0884785527984301,4,3,0.2956521739130435
