gene_set,n_genes,spearman_rho,spearman_p,rho_ci_low,rho_ci_high,same_direction_n,direction_concordance,binomial_p_vs_0.5,median_mouse_g,median_human_g,FDR_BH_spearman_prespecified_tests
All_prespecified_state_genes,43,0.2434309876170341,0.11571587327934159,-0.09143822857959737,0.5274894328773653,26,0.6046511627906976,0.2220528201560228,0.7513838145542784,0.19516407731232346,0.46286349311736635
Endothelial_immune_activation,16,0.27058823529411763,0.3107606271023349,-0.30655059523809525,0.8238805970149256,10,0.625,0.454498291015625,1.5715167868745186,0.16396082461988148,0.6215212542046697
BBB_specialization,12,0.2027972027972028,0.5273023541661079,-0.6304681368701931,0.77859778597786,7,0.5833333333333334,0.7744140625,-0.8110890014386691,-0.15211505938535264,0.6944626472070964
Structural_ECM_remodeling,15,0.11071428571428568,0.6944626472070964,-0.4754098360655738,0.6254848182059176,9,0.6,0.6072387695312499,0.39454066453754255,0.4425798978024981,0.6944626472070964
All_common_genes_sensitivity,11633,0.19721073287241156,2.425300134751999e-102,0.17968202928078159,0.21461424489619776,6703,0.5762056219375913,6.973855998777725e-61,0.07852410115276283,0.3116354090770453,
