module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
IFN_antiviral,Acute_vs_All_recovery,0.6976011944500992,0.2601398601398601,4,9,0.4444444444444444,0.3034965034965035
TNF_NFkB,Acute_vs_All_recovery,0.5026671749810746,0.2601398601398601,4,9,0.4444444444444444,0.3034965034965035
IL1_IL6,Acute_vs_All_recovery,1.1967307688782771,0.005594405594405594,4,9,0.9444444444444444,0.019580419580419582
TGF_remodeling,Acute_vs_All_recovery,-1.0320074966207922,0.033566433566433566,4,9,-0.7777777777777778,0.05874125874125874
Myeloid_proteolytic,Acute_vs_All_recovery,1.0056499557142018,0.033566433566433566,4,9,0.7777777777777778,0.05874125874125874
Chemokine,Acute_vs_All_recovery,1.0418654138408852,0.005594405594405594,4,9,0.9444444444444444,0.019580419580419582
VEGF_angiogenic,Acute_vs_All_recovery,0.11818748419615518,0.8251748251748252,4,9,0.1111111111111111,0.8251748251748252
