gene,validation_g,validation_var,expression_eligible,mouse_pooled_g,human_hedges_g
A3GALT2,0.7500099438430509,0.6830367797045327,True,-0.581190655208727,-0.1745009994328958
A4GALT,-0.596708474208751,0.6682900716566097,True,0.5105556151189915,-0.4152874391330681
AAAS,-0.4730264202301254,0.6588395710168377,True,0.3617209604161238,-0.5034854484308984
AACS,0.20134535270203352,0.6457528536467648,True,0.9555542431074524,-0.1587078862966965
AAGAB,-0.3232851328997604,0.6503223769395726,True,-0.4014426779081838,-0.6686562477613032
AAK1,1.257768969529417,0.7558559129079352,True,-0.8960601967890512,0.4561817299034147
AAMP,-0.10356187354574803,0.6436232186894505,True,-0.4715051880399076,1.0574431445154118
AASDH,-0.44529842258919294,0.6570207632257445,True,-0.1307232560192909,0.3077106848430996
AASDHPPT,-0.5712650439332008,0.6661674107442859,True,0.6200446988546432,0.579495276620896
AASS,1.1306762143632956,0.7341734786947796,True,-0.527505969504733,0.8296309343324445
AATF,0.2729663861476924,0.6481793319976095,True,0.5906467792482006,0.5299953459110096
ABAT,-1.6461864840649962,0.8364235671655911,True,-0.1369886079257525,0.3282851445910482
ABCB10,-0.6117049752434935,0.6695844983384032,True,-0.9593817518542164,-0.6948173309481805
ABCB7,0.36624459579833085,0.6524382217108202,True,-0.0085784611923566,0.6399302636556108
ABCB8,0.25294525394374767,0.6474272358209048,True,0.8118559520005608,-0.4243179804263415
ABCB9,0.34023722133067313,0.6511258119127727,True,0.0253039659688414,-1.560220461822004
ABCD3,-0.7818839978957932,0.6865244704403936,True,-0.1894943166649219,-0.2617565630772219
ABCD4,-1.084764585000143,0.7269081574907523,True,-0.250507281370298,0.9181998657170046
ABCE1,0.9130677545718323,0.7024066231742034,True,0.6116435328533267,1.2707338827375527
ABCF1,-0.04252994927968779,0.6429863426132667,True,-0.419136989396423,0.713381392763003
ABCF3,0.01732211647969038,0.642878575408524,True,0.0693212028213017,0.4373682326185278
ABHD10,-0.602242521506238,0.6687640039078708,True,-0.7397196673985565,0.3768946092120053
ABHD12,-0.27375245410796495,0.6482100290092953,True,0.2785776435962661,-0.2440689133514942
ABHD13,-1.22135761422847,0.7494081729881329,True,0.0379612050702485,1.525701227251934
ABHD14B,-0.21459618364487676,0.6461465372882105,True,-0.5483386510326363,0.3397498228264343
ABHD2,-0.25898768428013447,0.647648187186342,True,-1.0851632267998872,-0.3703384433687393
ABHD3,0.9023056465273817,0.7010111056967998,True,-0.1728708886595893,2.013777642734359
ABHD4,-1.8241893270110137,0.8805476214843497,True,0.7333623577834358,1.7385747828453917
ABHD5,0.6121100154242222,0.6696199050701888,True,-1.7676834579893972,2.054586051906159
ABHD6,-0.05206865185138776,0.6430507960361158,True,0.4682066910772916,-1.937282814148361
ABHD8,0.5875115952999257,0.6675121339008474,True,1.384540075895467,0.3932677933506257
ABI1,-0.9923940161267629,0.7132032773745862,True,0.4577391520739004,0.4619765181292137
ABI2,0.30300606786918904,0.6494151912261106,True,0.0781366095795974,-0.5940009927261418
ABI3,-0.08338027610423876,0.6433537336030871,True,1.225941722943507,0.6593586803061403
ABLIM2,0.8714031907022041,0.6970959657689988,True,-0.2141236264411161,-0.2379061100251556
ABT1,0.4024994892259739,0.6544289884876551,True,-0.061344553302808,1.04626177348947
