rho_pooled_mouse,rho_original_human,n_genes
-0.02374732914389686,-0.10767091275321265,6323.0
0.07263897722627687,-0.08161069408273028,6301.0
-0.03713414377742277,-0.050758956109103234,6318.0
-0.11012421470258475,-0.14423857905319973,6179.0
0.13069269844397075,0.07700737709870846,6303.0
0.08255857726469197,0.0834178060508284,6317.0
0.04219833647110563,0.03352415571035073,6293.0
0.08170589547272447,0.14294807963637396,6302.0
0.08818993126740281,-0.03539715150014478,6304.0
0.03502555581963573,0.10105693602875584,6282.0
0.11918662246316863,0.2675768870189685,6298.0
-0.0020878532023256334,-0.10007075969676904,6292.0
0.014559005522713463,-0.04958706420122293,6326.0
,,0.0
0.01908941315184346,0.12739137562579306,6302.0
0.03787491192868296,0.18313248713283023,6315.0
-0.04294344034053752,-0.11370916668418922,6315.0
-0.03816413881621045,0.16098053702032256,6292.0
0.014764684262546934,0.1614492865972373,6326.0
-0.0282097624716545,0.08952491747340725,6311.0
0.024787336914157132,-0.06740778529786143,6302.0
-0.06592932685353751,-0.09078422741419498,6321.0
0.04204995434919656,0.01275163854386556,6314.0
-0.03794133912087175,0.13945215645220657,6321.0
,,0.0
0.006454040601218645,-0.026120960434245256,6316.0
0.01710741490720925,0.24223135900976944,6275.0
0.019885005804855593,-0.029082166029332977,6310.0
0.04955021805766202,0.2117204853036866,6326.0
-0.035215947472466244,0.16612866931826548,6281.0
0.09798588641131152,0.010095202330515234,6328.0
0.01116065950271056,0.033173150811920175,6298.0
-0.10731813388876815,-0.02973531142685997,6109.0
-0.002189531978853212,0.02388517681526748,6314.0
-0.005260474297150908,0.10581959582962837,6313.0
,,0.0
0.09682315241598718,0.10384362118971185,6317.0
0.07548010463666827,0.20063715682033814,6116.0
0.022608109113907666,0.015912033725481743,6323.0
0.05017917389327953,-0.03351691974079599,6325.0
0.00701046458365109,0.16322497318899526,5980.0
0.03725961086096207,0.04112646444767876,6250.0
0.002300368973545409,0.06452634735532528,6295.0
0.04656533017501186,-0.024457569179062263,6135.0
-0.002454234717595137,-0.046232731967771994,6311.0
0.06810658565082055,0.16165713608671026,6323.0
0.07641694436750196,0.08689675729950806,6260.0
,,0.0
0.012668221406197226,0.028594244340057893,6322.0
-0.07927078268265605,-0.14540092265640372,6128.0
0.011014241699727517,0.10727735785629355,6324.0
,,0.0
0.10015511297584098,0.08586779288822377,6314.0
0.02556236053676696,-0.11209198581980098,6316.0
-0.05148905634241289,0.0808884934695261,6315.0
-0.0006541593140081142,-0.0826970782197364,6278.0
-0.04305040781696648,-0.010808427908969312,6311.0
-0.06287346411555317,-0.012885530281998937,6321.0
0.10363506583532481,0.11932419493008035,6325.0
0.0400399060367825,-0.07432784073306488,6327.0
0.0066177370211497446,-0.058768078018720395,6326.0
0.08574978234585418,0.18246774967059334,6327.0
0.12225770337009789,0.21634750605879627,6267.0
0.06387016908059355,0.34241595546054954,6224.0
-0.050263572619615525,-0.04206355545261754,6294.0
0.03229294460033118,0.2591230742556616,6325.0
0.03466642430939889,0.03927667885168313,6328.0
0.004118278643046162,-0.0750991176378585,6316.0
-0.016659083176978243,-0.039627681781957594,6323.0
0.06188757378198135,0.021514641188454923,6292.0
,,0.0
0.05665577399383639,0.1655706300837671,6322.0
-0.06416922320143795,-0.0877816708670863,6135.0
0.014740096667440746,0.060057557315316284,6318.0
