subset,reference,n_genes,rho,same_direction
All_EC,mouse_pooled_g,5811,-0.05624496376860802,0.46257098606091895
All_EC,human_hedges_g,5811,-0.010230680354435686,0.45878506281190845
All_EC_capillary_donors,mouse_pooled_g,5811,0.020066613968245682,0.4907933230080881
All_EC_capillary_donors,human_hedges_g,5811,0.08120414458010063,0.5018069179143004
Capillary,mouse_pooled_g,5811,0.04573936991080018,0.4985372569265187
Capillary,human_hedges_g,5811,0.10923847626436321,0.5061091034245396
