GSE199460__GSE210776,GSE199460__GSE95401,GSE199460__GSE279183,GSE210776__GSE95401,GSE210776__GSE279183,GSE95401__GSE279183,pooled_mouse__GSE279183,mean_within_mouse,mean_individual_mouse_human,within_minus_individual_cross,within_minus_pooled_cross,n_genes
0.35136294870607654,0.2616316039726565,0.11724795386970545,0.005386907985231013,0.036786326799847176,0.07457070641766299,0.09460839159502411,0.2061271535546547,0.0762016623624052,0.1299254911922495,0.11151876195963058,7570
0.4424951118339466,0.3850657340239969,0.20757445237396524,0.3375923637160571,0.048222238927344604,0.17592965075271724,0.19605515537273863,0.38838440319133355,0.1439087806846757,0.24447562250665786,0.19232924781859492,7493
0.5368100816180773,0.11706344477693936,0.1545858425961844,-0.006675567605636374,0.12418696054349995,0.06123120219861199,0.16035413239737706,0.2157326529297934,0.11333466844609878,0.10239798448369462,0.05537852053241635,7551
0.4933210292885812,0.3884846965991507,0.1494348136957505,0.20079557935328515,0.09900503412752296,0.11701318778853532,0.15550629533086846,0.3608671017470057,0.1218176785372696,0.2390494232097361,0.20536080641613724,7684
0.45943694630723203,0.19472625530847196,0.07069898199909469,0.08439010477169406,0.08892262931983672,0.02730997466193497,0.08397812435713593,0.24618443546246602,0.06231052866028879,0.18387390680217722,0.16220631110533007,7489
0.4670777768647549,0.2832174907167945,0.09134941074477482,0.21548509579199457,0.031306555223990014,0.12876791207239763,0.10580677527589254,0.3219267877911813,0.08380795934705415,0.23811882844412713,0.21612001251528873,7578
0.24290166070089816,0.3289741370404545,0.12091934833804457,0.15549800860551172,0.07737307334969373,0.16991676060559804,0.15387757564252422,0.2424579354489548,0.12273639409777877,0.11972154135117603,0.08858035980643059,7490
0.4810819467756255,0.2780817910534459,0.1334297021120022,0.13429117945641963,0.09972837414459133,0.14911784238223003,0.1679069551797761,0.2978183057618304,0.12742530621294118,0.1703929995488892,0.12991135058205427,7650
0.529565938673693,0.4050219306882575,0.11556376266550546,0.2960628583632929,0.08216038687853615,0.10995094024426982,0.12061325937963568,0.4102169092417478,0.10255836326277047,0.30765854597897735,0.2896036498621121,7609
,,,,,,,,,,,0
0.5324265002921389,0.16369660847860443,0.06209942272670536,0.008481698582784065,0.13437566923442723,0.01561819441403158,0.09179880780247826,0.23486826911784245,0.07069776212505473,0.16417050699278773,0.1430694613153642,7530
0.39327331599054455,0.43021625618375586,0.1200959601466824,0.2707696309839622,0.10058386918883026,0.1780560551460337,0.17873198974526908,0.36475306771942084,0.1329119614938488,0.23184110622557205,0.18602107797415177,7583
0.4338030935626591,0.1491924735051369,0.06653283811230905,0.043108615642072995,0.10621103983954405,0.03940460060087547,0.1042990373828208,0.208701394236623,0.07071615951757619,0.13798523471904683,0.10440235685380221,7543
