subtype,mean_CAL,mean_control,mean_difference,p_exact,n_case,n_control,FDR_BH
Endocyte_Arterial,0.047497516383714924,0.0195480631276901,0.027949453256024825,0.4727272727272727,7,4,0.6303030303030303
Endocyte_Capillary,0.2890632583297044,0.6555623357990646,-0.3664990774693602,0.012121212121212121,7,4,0.048484848484848485
Endocyte_Stressed,0.34909258175806623,0.04285714285714286,0.30623543890092336,0.1484848484848485,7,4,0.296969696969697
Endocyte_Venous,0.3143466435285144,0.2820324582161024,0.03231418531241198,0.8121212121212121,7,4,0.8121212121212121
