rho_pooled_mouse,rho_original_human,n_genes
-0.022417575679470017,-0.06935295101741466,6652.0
,,0.0
-0.027746738130842632,0.016110135541098882,6620.0
-0.03688562871232326,0.02134308632888912,6616.0
-0.052357510673191755,0.05286569493992063,6624.0
0.035942541713704174,0.01905620585558192,6596.0
0.0014689863639607966,0.06261062741655063,6628.0
-0.03219796201647202,-0.11615689704622287,6621.0
-0.08496803030239587,0.08757321684343185,6616.0
0.008367554915765347,0.07350702123379378,6657.0
,,0.0
-0.05660361797447299,-0.004264738262072445,6673.0
-0.059965147732470914,0.14747958739164282,6618.0
-0.04198717094418987,0.0507331055324931,6652.0
,,0.0
-0.09084078553578892,0.09143979297199756,6616.0
-0.061037727581793544,-0.07874598248795119,6661.0
-0.02207362674183921,0.06810378166904076,6677.0
-0.05189503065559938,-0.016847968582652743,6620.0
-0.061475383028844935,0.03484508712154058,6607.0
-0.025713923187260044,-0.01752398662890228,6671.0
-0.07301526844405486,-0.03476848184342436,6658.0
-0.08719925788319542,-0.01398706731888152,6640.0
-0.02682029008623875,0.017115052469026816,6668.0
-0.04931424607731675,0.035224826301083735,6633.0
-0.04489565399776827,0.1411329775704513,6622.0
0.028197957577488615,0.12944162615136376,6656.0
-0.01767629936338454,0.16375015572916912,6613.0
-0.048145581530568464,0.04192942748055259,6629.0
-0.00020488323373533236,0.02926049099659498,6653.0
-0.03206030255984947,0.023378665509631677,6655.0
-0.09409277458273227,-0.004388172998528643,6639.0
-0.0898340914048552,0.013665583017024698,6599.0
0.02899976464688556,0.0986575625019333,6675.0
-0.014801898966423439,0.006438458077591249,6662.0
-0.05894798911205133,-0.09714026324081451,6574.0
-0.051103773543054475,-0.015441605157368886,6654.0
-0.08215578188276536,0.17647672186007335,6612.0
-0.09927823100552531,0.037437257612078605,6635.0
-0.026211005481112045,0.05067781111485496,6608.0
,,0.0
-0.04822485971238974,-0.006136625992068635,6657.0
-0.0443109239366963,-0.05938656660329162,6680.0
-0.010404028389606756,-0.013067847819900244,6673.0
-0.09483829001065144,-0.06699099510041608,6600.0
-0.07257920054479233,-0.0673863648898078,6646.0
-0.04771086553565636,-0.015322094188749576,6631.0
-0.06145782538320602,0.09608285815905435,6594.0
-0.08317203340253718,-0.0028711268055224225,6587.0
0.0029549064230780255,-0.04404443606082212,6646.0
-0.046377891127852976,0.015521937077615596,6661.0
-0.04122932517938132,-0.11057914280823537,6653.0
-0.03408071442538559,0.11501468378757265,6583.0
-0.06608302215757877,0.06559566769149179,6631.0
0.004681898703581881,0.20569501360822634,6638.0
-0.04822947807328786,0.05433329295559938,6669.0
-0.050957865449129724,0.09508287630183869,6614.0
-0.08013092859308904,-0.0028391967655511333,6592.0
-0.024505863565810027,0.01670500088713479,6618.0
,,0.0
-0.03040308343796241,0.04658036258833954,6629.0
-0.023656468578837783,0.038426181380509544,6662.0
0.0024061648948077606,0.0007952967329160109,6585.0
-0.05125763759070149,-0.061737894949439626,6654.0
-0.008937465605877387,0.06410681262075196,6668.0
-0.04332142735081367,-0.059615184038506484,6655.0
-0.10479627869671254,0.03168873692245387,6599.0
0.010105813322050333,0.12703852502602578,6647.0
-0.029791197470735727,-0.05262590804167574,6657.0
-0.03328649333515625,0.048234554116126364,6664.0
-0.07909894594891735,0.015491633677906716,6634.0
-0.0659910574479873,0.023033561938015874,6642.0
0.018581085339303905,0.039652739395549516,6641.0
,,0.0
-0.03629052746618947,0.1016047271525479,6674.0
-0.03854126020898349,0.030613061151275284,6617.0
-0.05142969187191644,0.029039164716442082,6567.0
0.07581244154592968,0.1863466532290915,6672.0
0.015047520377186863,-0.027119846130419314,6627.0
0.004439798296839963,0.06144557331705404,6567.0
-0.04035788040750941,0.05164309260385874,6614.0
-0.07903446964446635,-0.024736016106692436,6666.0
-0.08119631377580622,0.040740198129350653,6563.0
-0.011624030260563422,0.028747080172823295,6533.0
-0.039789955261573064,0.11230776923931439,6648.0
-0.026060410086749346,0.057021381086850134,6609.0
,,0.0
-0.01590823407174071,0.12400335637491697,6674.0
,,0.0
0.0037489267403850485,-0.011100868874873503,6658.0
0.004501257092074033,0.07626693082877777,6654.0
-0.03947986875990771,0.05154564651259987,6598.0
-0.05123133762548749,0.07518755448574721,6657.0
-0.09226285106172251,0.09363797969633408,6627.0
-0.06686624424217673,-0.1332517908597338,6579.0
-0.016750548275283987,-0.0320785099405571,6671.0
-0.07567456407302041,0.05218674705200597,6643.0
-0.02986869022171689,0.11852429738169618,6630.0
-0.07362803960710437,-0.004045950662955462,6644.0
-0.05841292088109588,0.11925602492631743,6619.0
-0.074359651439821,0.015610643597881576,6658.0
-0.07924312401089496,-0.03815499528320326,6615.0
-0.12243526105504869,0.027905953799941024,6624.0
-0.06326746363039189,0.08465664794483224,6650.0
-0.0792528781993688,0.16772649340296203,6658.0
0.0007646267367300684,-0.05814990907340098,6640.0
0.05251587877336497,0.13966310187445807,6601.0
-0.05195180145777337,0.026035257354582717,6653.0
,,0.0
-0.015186517876683209,0.02424012149255886,6662.0
-0.04822534786944608,-0.02974566736564189,6614.0
,,0.0
-0.03179476410468891,0.039745377628027566,6669.0
-0.029646642434429573,0.14653158863573848,6666.0
-0.07047018474454522,0.09822844420519489,6622.0
-0.058759529614989786,-0.005018985936289695,6626.0
-0.06777498687558442,0.09537653652473406,6653.0
0.005408624313552833,0.024448251825957373,6634.0
-0.016926768171008456,0.19289078690499217,6600.0
-0.046382447831910444,-0.05437896757482508,6625.0
-0.0011108503094257184,0.08752967553284918,6667.0
-0.009649433235907216,0.06346701879542305,6635.0
-0.006084459909023767,0.09941441345618109,6650.0
-0.054013554507271626,-0.01662273338402858,6603.0
-0.011489281014106711,0.020822430089303293,6624.0
-0.057670514498470396,-0.08523052664131635,6459.0
0.018263432152442576,-0.01104299274245153,6642.0
-0.059908633517626805,0.017718051014954918,6554.0
,,0.0
-0.009886017226974707,0.05791130112863359,6666.0
-0.023603570381130767,0.03589300220527261,6637.0
-0.026760821838112882,-0.010601489268319686,6639.0
-0.006973943608615104,0.06277416562273036,6650.0
-0.07303630786129463,-0.020555822136971037,6661.0
0.004791210467387763,0.0029547211147476957,6658.0
0.018560889199267704,0.11889437082697532,6614.0
-0.012238256908217122,0.02933064325754129,6655.0
-0.07086865210716946,0.06555158370564204,6671.0
-0.04645469087871817,-0.032193136670060254,6611.0
,,0.0
-0.03171143839167875,0.04437503956881246,6672.0
-0.020096993087054083,0.03226064397275977,6659.0
-0.10472364986328021,-0.04464305957711407,6652.0
-0.018222293514602462,0.14200817137931585,6635.0
-0.04737565876536745,0.15905567610432278,6622.0
0.014492811742318234,0.042910861035374004,6664.0
-0.009906891864901858,-0.07037769801153237,6629.0
-0.0997149709265133,0.12586781394933594,6646.0
-0.06763812091090822,-0.0499505129426113,6640.0
-0.05003776048106895,0.09383561934526105,6617.0
-0.020296689019036022,0.06565898579302518,6658.0
0.0055021830440718355,0.07290189280405099,6665.0
-0.044248757361412025,0.14440390226769295,6677.0
-0.012468585984130654,0.031040196058584803,6617.0
-0.05606414097412977,-0.048005143486492104,6679.0
-0.06438559126833725,0.0924576922331238,6670.0
0.007580400644714181,0.13671590438149184,6628.0
,,0.0
-0.015333417814228882,0.05388450733894439,6606.0
-0.06589741876763885,-0.02574936584959092,6643.0
-0.03398332469340242,-0.0016955453237792665,6622.0
-0.009804713112590471,0.06190598701983862,6670.0
-0.001204573069459213,0.04419675746534408,6663.0
-0.04672216974449206,-0.04502163569516139,6628.0
-0.038864761704743817,-0.011294911149922482,6659.0
-0.03358396488288699,0.11257660108712678,6660.0
-0.10872302183801517,-0.023911024628000863,6634.0
-0.01976476879516848,0.05719687387725541,6618.0
-0.039962869595121506,-0.018667677461291096,6626.0
0.012486749068389992,-0.0024112753458105985,6666.0
-0.05993408505419051,0.015125376583133055,6630.0
-0.04245504924761865,0.016147274827197765,6654.0
0.054389366670834015,0.12167946365032671,6659.0
-0.09346434491601592,-0.027953992004863263,6589.0
-0.028008463989264244,0.0032168531026111487,6678.0
-0.05644026546424131,0.07182502987168606,6541.0
,,0.0
-0.022582565103976406,0.013516516861140379,6615.0
-0.010479893287637607,-0.005628259148580846,6666.0
-0.03836569130856817,0.05418471468811606,6654.0
-0.04114681763509538,-0.05697897687058781,6640.0
-0.02239820901650644,0.01232404041944472,6660.0
-0.039094892769985255,0.06273761321048578,6579.0
-0.011707890322632338,-0.04277371080534915,6596.0
-0.023998775113412425,0.049936860327224775,6666.0
-0.034519933500555135,-0.05340722251955346,6626.0
,,0.0
0.036518377002365134,0.11207148772487283,6653.0
-0.10663531478153372,-0.10077112360290433,6641.0
-0.005694389015333202,0.04912176786235791,6639.0
0.019139395882097496,0.13189018323348792,6570.0
-0.09743017963256595,0.0753679183876921,6612.0
-0.08092702619837311,0.020255603876913046,6641.0
-0.057528538206623084,0.05539386338970742,6647.0
-0.0003158477935548188,0.03887205438143862,6661.0
-0.04865433446987101,0.10856803401398472,6626.0
-0.037616518389332554,0.0027311427786971348,6617.0
-0.06005039709962319,0.006315316596184905,6653.0
-0.019251358008689552,0.008656847737824694,6656.0
-0.07115889202161939,0.032383281343995644,6630.0
-0.05434876537874186,0.06301256622370119,6586.0
-0.026913659606598837,0.022553431429400642,6667.0
,,0.0
-0.015388273125288046,-0.029385895908856544,6653.0
0.006983061853352738,0.07526148536875736,6632.0
,,0.0
-0.02893842628386069,0.008236117309862002,6676.0
-0.07204207992599114,0.10425296452023733,6646.0
-0.09442900534497607,0.06060070021903681,6625.0
-0.045610975668869055,0.0012307175373716024,6631.0
-0.07568704513091648,0.12462432558762053,6669.0
-0.05054079394909571,-0.0134497975853565,6657.0
-0.026743270221496324,0.04239326288035958,6634.0
-0.06040065216239581,-0.010200275574623864,6649.0
-0.024393814696067512,-0.03814630618397782,6586.0
,,0.0
0.0010234034904706636,0.16338159742814082,6677.0
-0.04086801852139338,0.14225266199495998,6589.0
-0.08194090004353431,0.014255805973944881,6527.0
-0.044172667268302254,0.023080025232355056,6674.0
-0.03320715282110233,0.05036993339663612,6653.0
-0.12386713533065237,-0.09519147403305887,6648.0
-0.020241469264911962,0.0645071746156827,6613.0
-0.030975728898102486,0.1025217378149991,6657.0
0.005312331162255641,0.07548208206324185,6655.0
-0.019494852362829867,0.011358102683971293,6657.0
-0.028113490565706497,0.00783029061524739,6615.0
0.012379146446162158,0.0853396318405948,6658.0
-0.03212620907194704,-0.006679197578529927,6623.0
-0.09846892889933002,-0.013102081101878287,6648.0
-0.04590385722521207,-0.07689856014679354,6657.0
-0.03506840039356397,0.054795592936109194,6609.0
-0.036974021366792766,-0.029719104605305354,6637.0
-0.02868607996294126,0.028074976388481932,6622.0
-0.04976790862758206,0.10670868159867951,6631.0
0.00895257988590948,-0.10621791309797897,6665.0
0.015244583552882834,-0.024927748143223117,6614.0
0.006462139382098236,-0.027381282456335893,6643.0
-0.0032379890959108983,0.10533203684159965,6517.0
0.03822260981152936,0.08061819464709565,6647.0
-0.05010758394959654,-0.03310805160738912,6654.0
-0.08944432623115356,0.0626418045298227,6652.0
-0.05927380357626555,0.09208474152394919,6641.0
0.008626697828065745,0.05441785373878886,6653.0
-0.03679853188482524,0.15705946732550125,6679.0
-0.027131477890394246,0.0978188777639652,6598.0
-0.031341987715177384,0.11910562685711291,6632.0
-0.11515422115265965,-0.1136213406788551,6620.0
0.004444832541958109,0.046490911240448705,6588.0
-0.03507377667156832,-0.053116043218225266,6634.0
-0.028619520816272736,-0.001801070584693279,6660.0
-0.0831816577868808,-0.004520590303850604,6664.0
-0.06678664539905822,-0.08714305371149836,6638.0
,,0.0
0.04406955102189628,0.15908059011814443,6627.0
0.023063637055007195,0.08615488136806673,6656.0
