gene,validation_g,validation_var,expression_eligible,mouse_pooled_g,human_hedges_g
A3GALT2,0.6137982381921796,0.35539940926323793,True,-0.581190655208727,-0.1745009994328958
A4GALT,-0.7000801377087501,0.359759560109641,True,0.5105556151189915,-0.4152874391330681
AAAS,-0.4724830907758427,0.34949525518097907,True,0.3617209604161238,-0.5034854484308984
AACS,0.0790949713572614,0.341149706851168,True,0.9555542431074524,-0.1587078862966965
AAGAB,0.8440624806568985,0.3683106859572708,True,-0.4014426779081838,-0.6686562477613032
AAK1,0.8821630373753704,0.37084030723645006,True,-0.8960601967890512,0.4561817299034147
AAMP,-0.24586519016128924,0.3432340790526696,True,-0.4715051880399076,1.0574431445154118
AASDH,-0.8343468680993072,0.36768350230551866,True,-0.1307232560192909,0.3077106848430996
AASDHPPT,0.5716272845691608,0.3534766967730875,True,0.6200446988546432,0.579495276620896
AASS,1.1259717378430354,0.389671104540678,True,-0.527505969504733,0.8296309343324445
AATF,-0.15727436887945004,0.34186044579779973,True,0.5906467792482006,0.5299953459110096
AATK,-0.16706667516713825,0.34198260144568327,True,0.4260993028222538,-2.2755567882444567
ABAT,-0.8249598957556042,0.36708443050928696,True,-0.1369886079257525,0.3282851445910482
ABCB10,-0.8509019326209705,0.3687565562528641,True,-0.9593817518542164,-0.6948173309481805
ABCB7,-0.1397519860351453,0.3416602685091204,True,-0.0085784611923566,0.6399302636556108
ABCB8,0.40047219376121845,0.34707747467739564,True,0.8118559520005608,-0.4243179804263415
ABCB9,-0.09505935200729705,0.3412566401554004,True,0.0253039659688414,-1.560220461822004
ABCD3,-0.32233808925176105,0.34490531566995536,True,-0.1894943166649219,-0.2617565630772219
ABCD4,-0.05384205848084016,0.34102058964991605,True,-0.250507281370298,0.9181998657170046
ABCE1,0.7221629634370537,0.3609675272844827,True,0.6116435328533267,1.2707338827375527
ABCF1,-0.19819834550853038,0.3424199595307185,True,-0.419136989396423,0.713381392763003
ABCF3,-0.4343113784659761,0.34816395142697615,True,0.0693212028213017,0.4373682326185278
ABHD10,-0.9742353553042011,0.37741426504465636,True,-0.7397196673985565,0.3768946092120053
ABHD11,-0.8135834133450582,0.3663674743887138,True,1.2390527779781573,0.3126994410996001
ABHD12,-0.4831228811740524,0.34988631084424154,True,0.2785776435962661,-0.2440689133514942
ABHD13,-0.6338120394677375,0.35635977173117755,True,0.0379612050702485,1.525701227251934
ABHD14B,-0.6746104677123796,0.35841290949167226,True,-0.5483386510326363,0.3397498228264343
ABHD15,0.05201827631654663,0.34101316402720416,True,0.9843866130450192,0.1014049077274002
ABHD16A,-0.40074836476671916,0.3470859852115216,True,-0.0549819322210975,0.3162608462818365
ABHD2,0.009124423266390477,0.3409122930283195,True,-1.0851632267998872,-0.3703384433687393
ABHD3,1.3137297847621427,0.4072893196541365,True,-0.1728708886595893,2.013777642734359
ABHD4,-0.3632635315483374,0.3459844906534359,True,0.7333623577834358,1.7385747828453917
ABHD5,0.6626900446798171,0.35779978688285,True,-1.7676834579893972,2.054586051906159
ABHD6,-0.6785773339151043,0.358619367759219,True,0.4682066910772916,-1.937282814148361
ABHD8,-0.2967202315703912,0.3442953561330596,True,1.384540075895467,0.3932677933506257
ABI1,-0.5237438977860364,0.35145938592709514,True,0.4577391520739004,0.4619765181292137
ABI2,-0.233854640957068,0.3430124752589816,True,0.0781366095795974,-0.5940009927261418
ABI3,-0.6739370744099846,0.3583779824577174,True,1.225941722943507,0.6593586803061403
ABLIM2,0.11785979804718112,0.341443357524311,True,-0.2141236264411161,-0.2379061100251556
ABT1,-0.05471568030583086,0.3410242372810651,True,-0.061344553302808,1.04626177348947
ABTB1,0.382940950242333,0.34654923596187936,True,0.1163996077259173,0.3438260684308026
ACAA2,-1.1467828426593678,0.3914902789174717,True,-0.6097161436838332,0.2866344644894067
ACAD8,0.08997378576347384,0.3412204479138836,True,-0.5951515925041572,0.4300892775229178
ACAD9,-0.6544101573612847,0.357380346834384,True,-0.3904427626053107,-1.3387350469585266
ACADL,0.7384470318244243,0.3618823224017948,True,0.463904773831449,0.9621629496189296
ACADM,-0.8222140178194571,0.3669104713359684,True,-1.4880906493405204,-0.2742911494435507
ACADS,-0.5763212519422516,0.3536839441952557,True,-0.6916116390953968,0.1977870780856891
ACADSB,-0.46175353064128727,0.34910971871907914,True,1.4529108848400516,-0.9375338858369217
ACADVL,-0.40029885977901203,0.3470721361837208,True,-0.1825250429014147,1.2556895768395422
ACAT1,-0.4057382093574807,0.34724076377572993,True,0.9697529970810324,0.0014396556436207
ACBD3,-0.37035107932076067,0.3461844725227083,True,-0.3057600278489876,0.4919850438206044
ACBD5,-0.21389969939964643,0.34266882480921623,True,-1.8516333004634764,-0.0856756018677276
