rho_pooled_mouse,rho_original_human,n_genes
-0.02873081566531481,-0.0731716897673667,6589.0
-0.03864974219800372,-0.023135116340263686,6605.0
-0.02797110973920008,0.045035837705696094,6587.0
-0.010056735738671102,0.05894570812526683,6522.0
-0.0017619173842463923,0.02541639784098918,6597.0
-0.03047226010913773,0.001704963754072307,6547.0
,,0.0
0.001870807182352323,-0.02975032161677461,6582.0
,,0.0
,,0.0
0.030445718592922402,0.008837581785298448,6603.0
,,0.0
0.030001906047354965,0.03940958023901813,6585.0
0.016365954459784254,0.05284018071647696,6573.0
-0.04472281960106631,-0.0016872924228233702,6588.0
0.007174312003650112,0.028031841962045133,6570.0
-0.006373577113528883,-0.034410938929864354,6562.0
-0.04173943148839306,0.02144424765426194,6563.0
-0.0038080143111124437,-0.0009869503684881303,6590.0
-0.03479459131146795,0.05558706185071347,6597.0
-0.003969188375292716,0.041589578668855334,6567.0
0.011671642931138674,0.10089990654450387,6534.0
-0.10243054670666137,-0.09811305468977446,6560.0
0.08775622135105486,0.09989624463135413,6593.0
-0.031051829865755276,0.06980450105836145,6587.0
-0.009581265997157215,0.045956081826752246,6568.0
-0.0739103598023323,-0.0720669816506232,6562.0
-0.02213199942781751,0.03363465833404235,6597.0
-0.039044539907620975,-0.022759919671678924,6595.0
-0.049313880550665955,-0.10626162419062783,6594.0
0.02503715230756735,0.07982316435404367,6552.0
0.030233042363790322,0.053665186019057204,6531.0
-0.0057190106779373435,0.08064097402744769,6544.0
-0.04965820156518221,-0.002993627152808865,6568.0
0.010511403911144482,0.020598009261637056,6594.0
0.03668985036260369,0.08642195013889416,6548.0
-0.047101758395029586,-0.0795140256230493,6587.0
-0.003484993104976932,-0.036253392563764995,6608.0
0.017359877518491138,0.2237684257613672,6580.0
0.01981890405228241,0.11224605528488421,6597.0
-0.0002914732436261947,0.03834887116690145,6577.0
-0.05145041514564987,0.0775830707118191,6538.0
,,0.0
-0.03475584637738347,-0.0787102428454162,6538.0
0.001381170013092047,-0.08874394094434962,6585.0
-0.03775938081252164,0.0239662230414866,6509.0
-0.07274533045631681,-0.07340770332450454,6450.0
-0.020412221566796028,0.10007776293855315,6583.0
-0.036515638665972974,0.030141448478837984,6252.0
-0.017699341958414935,0.09032859972402982,6576.0
-0.018349781085643613,-0.03385679493783022,6546.0
0.03527753737270504,0.0024276128269641434,6588.0
-0.011473216037643121,-0.06882337061363536,6528.0
0.020865301297318527,0.04513343554182342,6598.0
-0.025790060332267852,0.009039690622091024,6582.0
-0.01366011263289744,0.07273231081294869,6582.0
-0.06866475953405317,-0.013154532720845512,6541.0
-0.030047387082699446,0.068497103721335,6596.0
,,0.0
-0.05183294240206781,0.05976197530720584,6593.0
0.02448592873525067,0.07691527576471678,6558.0
0.039898780088365844,0.08191605848761817,6598.0
-0.05272358267658448,-0.1099346793543033,6586.0
0.032140145401483654,0.026139306655936563,6553.0
-0.011637913038062811,-0.08166836978761015,6593.0
-0.002392288505608316,0.032376871871697646,6556.0
-0.02700080999809769,0.015615275432233245,6574.0
-0.0032546269097904683,0.02554994852049249,6603.0
-0.023402534135595638,-0.04030014025566256,6582.0
-0.01717773515043566,-0.08659365329171564,6516.0
0.05612933084085987,0.03324624032125384,6585.0
-0.014061140086363241,0.08515708607858843,6589.0
-0.022968213428427274,0.0169412932421297,6608.0
-0.05165133748738728,-0.07916411149265881,6602.0
0.011146606945782301,0.13637628231960597,6578.0
-0.0019554527578178552,0.022816692923746495,6590.0
-0.07700105995747501,-0.07643931315894863,6544.0
0.019042868115808825,0.023317515675081578,6577.0
-0.12859197955919402,-0.025204128586550818,6599.0
0.0025160456104607663,-0.061213393371500266,6593.0
0.02167548583355705,-0.009054447112206886,6531.0
-0.0062914507788499234,-0.03956013307693733,6581.0
-0.07696467344463306,-0.10280383947194122,6574.0
-0.05998730532008205,0.06186251745948105,6590.0
-0.06563155214260108,-0.03374480698717112,6493.0
0.037417827671679386,0.2519001792536294,6578.0
0.024848264796024946,0.004523023601292986,6556.0
-0.021528780517738936,0.020794555331761142,6584.0
-0.08429958417943995,0.020565681652708986,6579.0
-0.009340679389368797,-0.05326889350723332,6551.0
0.021047287495588696,0.02293514645956687,6583.0
,,0.0
-0.031141103832309988,-0.01947286529226843,6585.0
,,0.0
-0.04213313322966544,-0.04280183076665923,6587.0
-0.021940132683680048,0.01997570481337526,6589.0
-0.0352010815264188,-0.005686571003572936,6595.0
-0.09636475132349179,0.05505142811456013,6567.0
-0.013799588452679618,-0.060881166060541655,6596.0
-0.09362594640144317,-0.0016968684454999048,6545.0
,,0.0
-0.0011719794683138019,-0.015461518593152064,6527.0
-0.03230432846764967,-0.022212113087699444,6544.0
-0.02225828503663549,0.04664200829462461,6590.0
-0.001986140928179079,-0.05778681819096405,6540.0
-0.044341315927812604,0.061397428874913354,6583.0
0.052331908900370004,0.08194928251512573,6568.0
-0.047581365062171865,0.08825049786559992,6586.0
-0.05123164103025268,-0.05974280487953641,6522.0
-0.04492761499730749,0.03441043904460688,6594.0
-0.05307680602346526,-0.025159558136538748,6588.0
0.0028072093748592077,0.08970402049997417,6585.0
-0.012217598212480288,0.13253670279694846,6558.0
0.013142817097517492,0.0033339129633348503,6553.0
-0.036926814276331314,0.026630254482819884,6526.0
-0.023893765618191665,-0.04865561542811353,6559.0
-0.029650693818828608,0.05026462362440727,6554.0
0.018953260190047783,0.14302002857826165,6571.0
-0.02907467912301603,0.02013463942134729,6592.0
-0.03576972306532545,0.031355846983713236,6548.0
-0.01997525793531686,-0.13245040120148674,6570.0
-0.05866516479634364,-0.016533461466330147,6591.0
0.0016913496971991163,0.07404773122235893,6544.0
0.023470886473856034,-0.0012426447173385874,6593.0
-0.06260608868900885,-0.08315626750671377,6526.0
,,0.0
-0.05813755977550429,0.09098517913276992,6541.0
-0.06703174204458173,-0.032677398517626965,6565.0
-0.05338050269461242,-0.04484953622979002,6587.0
-0.038221983501588105,-0.0389590202449819,6566.0
-0.008100820715764725,0.05545112859625476,6581.0
,,0.0
0.029180417764724177,0.05184572216074028,6585.0
-0.029574705740076264,0.06419279190568214,6571.0
0.06176470227215213,0.1180456815941724,6573.0
0.011416239072125484,0.13117199024358356,6544.0
-0.039908390981794425,-0.09701908325776545,6585.0
-0.03995561637911995,-0.06755994186336757,6583.0
0.014436001603913153,0.15324807663822754,6568.0
0.018455424615873163,0.049293235179237574,6557.0
-0.0734466747808803,0.06370039095236335,6524.0
-0.02811554580620415,-0.12076059156348087,6558.0
-0.030324840185110422,0.11480532192811588,6594.0
-0.04703016755565865,-0.06607430917794191,6544.0
-0.002363617032587355,0.0035402682540816945,6569.0
-0.04889690739394537,-0.07477316128096372,6584.0
-0.15134653456639083,-0.12805247324255778,6558.0
0.0009962887952793735,-0.0486744390201928,6534.0
0.05358374181226704,0.13953108973389292,6562.0
-0.04827700522402709,-0.04983261266067311,6505.0
-0.011549833680607068,-0.03137303158405437,6603.0
-0.06670173907058996,0.04791497302081494,6548.0
0.04424274095363865,-0.05766014460608812,6579.0
-0.026295688948729155,0.05514986714008044,6587.0
-0.059526033753341055,-0.08917618181581495,6557.0
-0.04730947835185559,0.15121243364000295,6578.0
-0.042588980026163806,-0.021723447538128462,6573.0
-0.018186577496037536,-0.025686393590126096,6578.0
-0.04095531754747222,-0.04507053146950584,6588.0
-0.025526043976072898,-0.04062088103157263,6601.0
0.027175634735815433,0.14233488961969842,6524.0
0.0021722160112860735,0.17797446296923855,6510.0
0.04765564683564973,-0.004519086459916322,6526.0
-0.015910852988510117,0.021626208976372702,6553.0
,,0.0
-0.02880204078410688,0.04794546601944847,6594.0
-0.039073622022154454,-0.0062775541112774095,6541.0
-0.007435521611347512,-0.031422735736330094,6564.0
-0.04834553316352204,-0.108621491751051,6595.0
0.010228811360867127,-0.05188529962312099,6570.0
0.013491298401300035,-0.033252172023887305,6562.0
0.010830135958106689,0.04311833311992412,6604.0
-0.06025456288463427,-0.056526683318157946,6534.0
-0.036713354487004586,0.04234257672900961,6534.0
-0.032698679496552266,0.025252121943615178,6586.0
-0.04127627373636658,-0.016122839536186703,6592.0
-0.010004653348755842,-0.016040802658660362,6540.0
-0.016830122026267203,-0.027777438537659602,6589.0
0.00720701748903225,0.07083824756854665,6562.0
-0.014158382181423105,0.08132687650591439,6603.0
-0.015494062395269643,0.039368377468637986,6594.0
-0.017017409533326908,0.05275709739401484,6596.0
-0.095218497965643,-0.010530064957346057,6527.0
-0.056920079821380934,-0.10690618152968756,6594.0
-0.0074845268945160645,0.12904889078737614,6595.0
-0.06217965346660642,0.06190018803246244,6527.0
-0.02586719347648325,-0.04656927623752937,6566.0
-0.04873766516004674,0.014058472299682712,6569.0
-0.11000468161905962,-0.09708640999469309,6546.0
-0.10797947531455644,-0.07696577636149791,6548.0
-0.02055855656180143,0.07248186213679275,6588.0
-0.007981894706924002,0.017455044997927226,6546.0
0.006747820159428728,-0.04461343678845229,6548.0
-0.05219916510391929,-0.05588575801847676,6581.0
0.08857619827156804,0.15846817926522314,6605.0
