gene,validation_g,validation_var,expression_eligible,mouse_pooled_g,human_hedges_g
A4GALT,-0.15790943729582535,0.535411282532257,True,0.5105556151189915,-0.4152874391330681
AAAS,0.3882356475880668,0.5458939098381771,True,0.3617209604161238,-0.5034854484308984
AACS,0.9372390138023945,0.6065347474161071,True,0.9555542431074524,-0.1587078862966965
AAGAB,0.3296875633701906,0.5423911574534145,True,-0.4014426779081838,-0.6686562477613032
AAK1,-0.23613436420106215,0.5379799531630534,True,-0.8960601967890512,0.4561817299034147
AAMP,-0.07977728535550824,0.5338637012715578,True,-0.4715051880399076,1.0574431445154118
AASDH,-0.2821774033297911,0.5399686739124953,True,-0.1307232560192909,0.3077106848430996
AASDHPPT,-0.05206649461884527,0.5335592433218245,True,0.6200446988546432,0.579495276620896
AASS,0.5489302702106934,0.5584437034627987,True,-0.527505969504733,0.8296309343324445
AATF,-0.6196728031982714,0.5653328652519669,True,0.5906467792482006,0.5299953459110096
AATK,-0.45461057970114765,0.5505558982646844,True,0.4260993028222538,-2.2755567882444567
ABAT,-0.23929172133538074,0.5381050439916375,True,-0.1369886079257525,0.3282851445910482
ABCB10,-1.4504320666447892,0.7086460983292895,True,-0.9593817518542164,-0.6948173309481805
ABCB7,-0.07182797656841118,0.5337632715181594,True,-0.0085784611923566,0.6399302636556108
ABCB8,0.1503151258931402,0.5352162197560225,True,0.8118559520005608,-0.4243179804263415
ABCB9,-0.8527403168158503,0.5939305039935997,True,0.0253039659688414,-1.560220461822004
ABCD3,0.6723832666017442,0.571008271433836,True,-0.1894943166649219,-0.2617565630772219
ABCD4,0.8291353010328426,0.5906221122849019,True,-0.250507281370298,0.9181998657170046
ABCE1,-0.07855658602512708,0.5338475947673269,True,0.6116435328533267,1.2707338827375527
ABCF1,1.0887228215849436,0.6321097818533234,True,-0.419136989396423,0.713381392763003
ABCF3,-0.301165361971173,0.540891714604269,True,0.0693212028213017,0.4373682326185278
ABHD10,-0.07492181324725038,0.5338011065083547,True,-0.7397196673985565,0.3768946092120053
ABHD11,-0.7976650155805785,0.5863557897567637,True,1.2390527779781573,0.3126994410996001
ABHD12,-1.3000294356745756,0.6741730444683629,True,0.2785776435962661,-0.2440689133514942
ABHD13,-0.3133310345269322,0.5415146947664764,True,0.0379612050702485,1.525701227251934
ABHD2,0.5545722158747232,0.5589625285516834,True,-1.0851632267998872,-0.3703384433687393
ABHD3,0.9765478193784014,0.6128038036277259,True,-0.1728708886595893,2.013777642734359
ABHD4,-0.1971772630652578,0.5365732394224921,True,0.7333623577834358,1.7385747828453917
ABHD5,0.38833669733540427,0.5459004492081141,True,-1.7676834579893972,2.054586051906159
ABHD6,-0.8651269143201135,0.5957037148234201,True,0.4682066910772916,-1.937282814148361
ABHD8,-0.26400863152258003,0.5391417131265355,True,1.384540075895467,0.3932677933506257
ABI1,-0.12392102377469912,0.5346130350111141,True,0.4577391520739004,0.4619765181292137
ABI2,-1.3188475282186731,0.6782799002240419,True,0.0781366095795974,-0.5940009927261418
ABI3,-0.10123073101122,0.5341873050750888,True,1.225941722943507,0.6593586803061403
ABLIM2,0.13527417088547927,0.5348582584423961,True,-0.2141236264411161,-0.2379061100251556
ABT1,-0.5076841733052083,0.5548119349853827,True,-0.061344553302808,1.04626177348947
