gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
A3GALT2,-0.63868983754027,-0.24639743405981107,-0.9775735570729968,-0.17450099943289588,-0.581190655208727
A4GALT,2.5275989875641462,0.4419320385491976,-0.5007822173772523,-0.41528743913306815,0.5105556151189806
AAAS,0.7691653686138631,-0.566841286887031,1.1915890742886666,-0.5034854484308983,0.361720960416124
AACS,2.6300116738822177,-0.0796261451671938,1.2758733451013233,-0.15870788629669655,0.9555542431074536
AAGAB,0.0822118156676227,-1.7150147809696965,0.2801042641102795,-0.6686562477613033,-0.40144267790818355
AAK1,-0.25279202848507326,-3.1696670887130707,0.09289104904179396,0.4561817299034147,-0.896060196789062
AAMP,0.4292755285349061,-1.000528824261562,-0.6653283664003793,1.057443144515412,-0.4715051880399137
AARD,-0.7353997341772527,-1.6789020321637491,-1.6389732019510215,-0.28640178315657505,-1.3508891242987342
AASDH,-0.0072304000987982765,0.015607357713603184,-0.4049227933647672,0.3077106848430997,-0.13072325601928989
AASDHPPT,0.8880928471068986,-0.5361791304406113,1.9223671035885903,0.579495276620896,0.6200446988546406
AASS,-0.2630259155324653,-0.3721420155370465,-0.9782050793560189,0.8296309343324445,-0.527505969504733
AATF,1.7819358105267762,-0.27095920229808584,0.9182852007062775,0.5299953459110097,0.5906467792482014
AATK,0.2068558174137706,1.4899823206340908,-0.30697665220201165,-2.2755567882444563,0.4260993028222534
ABAT,-0.4566759376761742,1.0268556923486243,-1.124514291569031,0.32828514459104824,-0.13698860792575251
ABCB10,-0.12377268302503772,-2.5862952537747295,-0.5906274804266199,-0.6948173309481804,-0.9593817518542157
ABCB6,-0.33476118417795314,-0.20094877694179117,0.020258891483175015,0.49192326214806037,-0.16102007494238343
ABCB7,-0.1644280095933374,-1.3425214134432004,1.6486253447924868,0.6399302636556109,-0.008578461192356572
ABCB8,1.9743964132975438,1.3496380603535214,-0.4380574326579256,-0.42431798042634156,0.8118559520005635
ABCB9,-0.12308892085644958,-0.2530957471668527,0.47683772565545357,-1.560220461822004,0.02530396596884277
ABCD3,-0.4958880377062002,-1.007919513437708,0.9996332382137311,-0.2617565630772219,-0.18949431666492883
ABCD4,0.8181742038598425,-0.8003264515362258,-0.4452936612814737,0.9181998657170045,-0.2505072813702979
ABCE1,-0.3614267477266096,0.1377719954639176,2.753205628988131,1.2707338827375527,0.6116435328532963
ABCF1,0.04694328041388803,-1.5197389655557993,0.11905376253318767,0.713381392763003,-0.419136989396422
ABCF3,0.4104887410155038,-0.9162888790837816,0.857675322628552,0.4373682326185278,0.069321202821292
ABHD10,0.0027371335759887477,-1.6153734644212097,-0.6348741354467697,0.3768946092120053,-0.7397196673985581
ABHD11,2.5967999548796885,0.5438837701302771,1.689971503032828,0.31269944109960013,1.2390527779781577
ABHD12,0.5478123395923737,0.18236147889649376,0.18412680690878863,-0.24406891335149425,0.2785776435962406
ABHD13,-1.0955455621769454,0.9194122824878926,-0.05670331757933063,1.525701227251934,0.037961205070249665
