gene,validation_g,validation_var,expression_eligible,mouse_pooled_g,human_hedges_g
A4GALT,0.27392485758323576,0.6760460201169162,True,0.5105556151189915,-0.4152874391330681
AAAS,-0.07980226297558993,0.6674627168136698,True,0.3617209604161238,-0.5034854484308984
AACS,1.4048142445543588,0.9133545493795209,True,0.9555542431074524,-0.1587078862966965
AAGAB,0.10686449214000072,0.6680941691267092,True,-0.4014426779081838,-0.6686562477613032
AAK1,0.32865807431656685,0.6801686828933509,True,-0.8960601967890512,0.4561817299034147
AAMP,-0.6048233708647576,0.7123930804096926,True,-0.4715051880399076,1.0574431445154118
AASDH,-0.15134305833840864,0.6695297568300695,True,-0.1307232560192909,0.3077106848430996
AASDHPPT,0.06283163878004325,0.6671601435206399,True,0.6200446988546432,0.579495276620896
AASS,0.5927866518782157,0.7105911684972898,True,-0.527505969504733,0.8296309343324445
AATF,-0.6496573492230838,0.7194235005916121,True,0.5906467792482006,0.5299953459110096
AATK,-1.017880341528248,0.7961767153753745,True,0.4260993028222538,-2.2755567882444567
ABAT,0.051890964001358626,0.6670032506847904,True,-0.1369886079257525,0.3282851445910482
ABCB10,-0.9364965396650067,0.7762948877672331,True,-0.9593817518542164,-0.6948173309481805
ABCB7,2.679368319287851,1.5640434904670921,True,-0.0085784611923566,0.6399302636556108
ABCB8,0.5070369740583204,0.6988024782994439,True,0.8118559520005608,-0.4243179804263415
ABCB9,-1.4603038607093113,0.9332275873669815,True,0.0253039659688414,-1.560220461822004
ABCD3,0.9671175904093716,0.7835812208765702,True,-0.1894943166649219,-0.2617565630772219
ABCD4,0.34460697359155695,0.6815109124476582,True,-0.250507281370298,0.9181998657170046
ABCE1,0.00424172357101905,0.6666689156940232,True,0.6116435328533267,1.2707338827375527
ABCF1,0.7347205062460717,0.7341434444539772,True,-0.419136989396423,0.713381392763003
ABCF3,-0.4347223928757122,0.6902896115251148,True,0.0693212028213017,0.4373682326185278
ABHD10,-0.660803010341712,0.7212492439762502,True,-0.7397196673985565,0.3768946092120053
ABHD12,-1.018807537565918,0.7964127664918078,True,0.2785776435962661,-0.2440689133514942
ABHD13,0.08305963772161164,0.6675290295939723,True,0.0379612050702485,1.525701227251934
ABHD2,0.0445690840941519,0.6669149670737906,True,-1.0851632267998872,-0.3703384433687393
ABHD3,0.8184072944211167,0.7503904791118782,True,-0.1728708886595893,2.013777642734359
ABHD4,-0.3413694709639525,0.6812333061299427,True,0.7333623577834358,1.7385747828453917
ABHD5,0.9358210772673689,0.776136802748899,True,-1.7676834579893972,2.054586051906159
ABHD6,-0.6619239445346766,0.7214345802102098,True,0.4682066910772916,-1.937282814148361
ABHD8,0.3031395514946904,0.6781533651267169,True,1.384540075895467,0.3932677933506257
ABI1,-0.2153593955346445,0.6724641253222976,True,0.4577391520739004,0.4619765181292137
ABI2,-0.8884827085606104,0.7653418570930665,True,0.0781366095795974,-0.5940009927261418
ABI3,0.6196448256147638,0.7146616304055605,True,1.225941722943507,0.6593586803061403
ABLIM2,0.49837552715401945,0.6977139374249225,True,-0.2141236264411161,-0.2379061100251556
ABT1,-0.7864995904664606,0.7439893673921554,True,-0.061344553302808,1.04626177348947
ABTB1,0.5477495195120897,0.7041703586823823,True,0.1163996077259173,0.3438260684308026
ACAA2,-0.6565848085666554,0.7205546180217306,True,-0.6097161436838332,0.2866344644894067
ACAD8,0.12281427172946759,0.6685520848342216,True,-0.5951515925041572,0.4300892775229178
ACAD9,-1.3016675645355817,0.8784589727371658,True,-0.3904427626053107,-1.3387350469585266
ACADM,-1.7563842265369594,1.0522773605701459,True,-1.4880906493405204,-0.2742911494435507
ACADS,-0.3526557021635199,0.6822124222002223,True,-0.6916116390953968,0.1977870780856891
ACADSB,-0.6560493704983489,0.7204667637330766,True,1.4529108848400516,-0.9375338858369217
ACADVL,0.17771848695991413,0.6706146492425817,True,-0.1825250429014147,1.2556895768395422
ACAT1,-0.7207543833017019,0.7316025267977437,True,0.9697529970810324,0.0014396556436207
ACBD3,0.7611002480545317,0.7390758651152504,True,-0.3057600278489876,0.4919850438206044
ACBD5,-0.7131207444482882,0.7302343161869768,True,-1.8516333004634764,-0.0856756018677276
ACD,-0.1379306075980188,0.6690447732307114,True,0.3262588562006338,-0.1334951026822136
ACER2,2.0282246946805578,1.180878593180672,True,1.8990475740184247,-0.7006878077523964
ACER3,0.05021398519051358,0.6669818472052558,True,0.7043756400116249,-0.5410020756380233
ACIN1,-0.030225120331019945,0.6667808614040447,True,-0.8331022719325551,-0.9494371664619458
ACLY,-0.281105198279493,0.6765441832291358,True,-0.1940641342937247,0.6436818349375771
ACO2,-1.7081371322260968,1.031383224477866,True,0.942938301174597,0.3219424698619296
ACOT11,0.6100789001176481,0.7131911997127616,True,0.1211968034816043,-0.1457854452612994
ACOT13,0.11628660455087869,0.6683569884664132,True,0.0959331107675718,0.4633546806772677
ACOT7,-0.42621633124360064,0.6893742117940109,True,2.064121158175804,0.4915145183650532
ACOT8,0.6565324461283717,0.7205460232690796,True,0.2154913278714724,0.1711304898281684
ACOX1,-0.9246278596486929,0.773533751521482,True,-0.5769473254567332,-0.4963846682966068
ACOX3,-0.5592218182104989,0.7057577969119987,True,0.1423305061134665,-1.1443045127824605
ACP1,-0.016204742264879543,0.6666994908756505,True,1.428256755059234,0.932219479289291
ACP2,-0.6788462506983178,0.7242706956775621,True,0.5541704000729952,0.2430678574769101
ACP6,-1.0620106042026058,0.8076499820965146,True,0.3144403384176911,0.5726200178501645
ACSF2,-1.2779688090573467,0.8708172012820983,True,0.5149905771694231,-0.1206499369766444
ACSF3,-0.4758965215217049,0.6949763540662239,True,1.304508122632628,0.2548850293552665
ACSS1,-0.9392812242766522,0.7769478189514974,True,0.1113052948900896,-0.6099802011484745
ACSS2,0.054805975730746914,0.6670421285386415,True,0.6645078286368117,-0.3406206288408711
ACTR10,-0.2651561317541483,0.6754551384425196,True,0.4093697047590444,-0.8391303169059491
ACTR2,-0.615140736187135,0.7139664323312729,True,0.0945822862350818,1.3231735022902826
ACTR5,-0.5050787557308762,0.698554735352998,True,-0.1251152357076223,0.7189823492285506
