dataset,filename,relative_download_path,bytes,md5,url,analysis_role
GSE279183,GSM8563683_CO41_barcodes.tsv.gz,GSE279183_snRNA/GSM8563683_CO41_barcodes.tsv.gz,19596,4124ed130d71e940db75c5876d3b1eb1,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563683/suppl/GSM8563683_CO41_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563683_CO41_features.tsv.gz,GSE279183_snRNA/GSM8563683_CO41_features.tsv.gz,333437,6f107cc3cd049383496d980b175e7f60,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563683/suppl/GSM8563683_CO41_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563683_CO41_matrix.mtx.gz,GSE279183_snRNA/GSM8563683_CO41_matrix.mtx.gz,17541202,48273b088d2fbb0254b9e49b0b449a42,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563683/suppl/GSM8563683_CO41_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563684_CO45_barcodes.tsv.gz,GSE279183_snRNA/GSM8563684_CO45_barcodes.tsv.gz,41313,3c0c041daad2d1f2c0fb53f856d1f1a2,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563684/suppl/GSM8563684_CO45_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563684_CO45_features.tsv.gz,GSE279183_snRNA/GSM8563684_CO45_features.tsv.gz,333437,2987ea1cc146e5b000ca504e60147771,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563684/suppl/GSM8563684_CO45_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563684_CO45_matrix.mtx.gz,GSE279183_snRNA/GSM8563684_CO45_matrix.mtx.gz,66750579,8d5e58e8435e4727e4d31bf6956f8df3,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563684/suppl/GSM8563684_CO45_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563685_CO74_barcodes.tsv.gz,GSE279183_snRNA/GSM8563685_CO74_barcodes.tsv.gz,18950,baa674ea906a8657fee6fa85389ab512,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563685/suppl/GSM8563685_CO74_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563685_CO74_features.tsv.gz,GSE279183_snRNA/GSM8563685_CO74_features.tsv.gz,333437,e5b843164532d7657d79cf9eb52cb01b,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563685/suppl/GSM8563685_CO74_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563685_CO74_matrix.mtx.gz,GSE279183_snRNA/GSM8563685_CO74_matrix.mtx.gz,23115480,44e2af84e480b215a8917a2d509a1822,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563685/suppl/GSM8563685_CO74_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563686_CO85_barcodes.tsv.gz,GSE279183_snRNA/GSM8563686_CO85_barcodes.tsv.gz,19747,0df712bce072885d1a96ced4f7ba593a,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563686/suppl/GSM8563686_CO85_barcodes.tsv.gz,Reconstruction for the matched benchmark
