sample_id,dataset,group,Endothelial_immune_activation,BBB_specialization,Structural_ECM_remodeling,Tight_junction,BBB_transport_identity,Caveolae_structural,PLVAP_permeability,Adhesion_trafficking,IFN_antigen_presentation,Wnt_BBB,TGF_response,VEGF_response,ROS_Src,ECM_protease,subset
DS001,GSE210776,CFA,-0.823792967415566,0.3199384880359267,-0.53218949010291,0.018676317917145396,0.03805904380408459,0.2748176160671377,-0.38415153398028085,-0.7598042369100263,-1.0149224541267012,0.6617196568977018,0.011645485855658118,0.15986104853412333,-0.9269782652798373,-0.9447098837110973,
DS002,GSE210776,Acute,0.6392699005307585,-0.2281147050471598,-0.35660714438479074,-0.36641260670596465,-0.5629177211898526,-1.4399525237997095,0.3317879048554061,0.4005495943125836,0.822402153516559,0.03148540413005646,-0.3193603015237033,-0.04935379023643724,0.3136811932354054,0.17484188400085326,
DS003,GSE210776,Chronic,0.4073081307066609,-0.8883321695240104,0.34939379186353936,-0.9004399168047605,-1.6956433971970657,0.034549426588063516,0.10403460446578135,0.965908855228887,0.028630309766819444,-0.4766047241669827,0.10072472602929712,-0.37694987609826347,1.2135554622547748,0.5800036077954772,
DS004,GSE210776,CFA,-0.6873900218367168,0.2786983020542801,-0.406467684439021,0.00513749353201251,0.41276273793626306,0.05400322338254235,-0.580790567092929,-0.19545496601984455,-0.9267867321118565,0.39403995646146694,-0.07284416939372726,-0.3531674174141724,-0.9779241168565314,-0.42129995261950726,
DS005,GSE210776,Acute,0.021314046791553243,-0.6800252479412799,0.4381902798894506,-0.37463322312059655,-0.523521392236529,-0.7620755310676245,0.5787525850481532,0.4747870334659443,-0.15033628739433386,-0.9618718590074442,0.20651071861596176,0.33822747402944736,1.1155689430833795,1.3253620227850975,
DS006,GSE210776,Chronic,0.25960166670955875,0.17738295717893718,0.5646633149012164,0.5380384051461937,0.5076608756734483,0.3381172213367938,0.655328647187767,0.4386711775244084,0.17558817871417942,-0.22819296737982278,0.4395433280939638,0.03999717708563979,0.3529586753854433,0.8269858073653459,
DS007,GSE210776,Healthy,-1.2142952996446517,0.41580468518547975,0.11823944918327291,0.44685538511813044,0.9609001751165008,1.3442318938815117,-0.4090083398553921,-1.3452983460434131,-1.168019643456936,0.12255647359820199,-0.20103237237107774,0.05771572382197373,-0.47812665904662904,0.2394533759996721,
DS008,GSE210776,Healthy,-1.3518475371707612,0.7179601173774952,-0.5099446364062376,0.635058459734104,1.3356253281740915,1.2544813930537069,-1.4184401628175682,-1.781404834910166,-1.1823456115554705,0.464395283741458,-0.07895898906936376,-0.6307042011597407,-0.8493676662393429,-1.0802639773857308,
DS009,GSE210776,Chronic,0.22870356786396162,0.5008778152874942,0.10907422562840116,0.38923757716510365,0.5981115428996322,0.101461218466441,0.4964001990797737,0.5702297037529762,-0.04466252520601954,0.5266877768963524,0.5410131270414874,0.3640675019674509,-0.10385315610727477,0.717136435697759,
DS010,GSE210776,Chronic,0.3217975274249045,0.052509924508519316,-0.258913339893165,-0.09395466201244548,0.5418353478684333,-1.2375496682788178,0.12083130519866994,0.7120727449872644,0.024261634134071824,-0.09450972949079454,0.08520635000599913,-0.1601825884079705,0.3618797385600577,0.18135643780227118,
DS011,GSE210776,Acute,0.9798863834009182,-0.2615426780914178,-0.11550641881259484,-0.1382403055639574,-0.1644160965248168,-0.10294604065768322,0.17320398196400777,0.7042134149200902,1.176013545619668,-0.39230755055969196,-0.4763058191712842,-0.3754150494969252,0.4095328969778821,0.04992486384699882,
DS012,GSE210776,Acute,1.1248267888879182,-0.09510460034595918,-0.12398651599881307,0.007672111503187723,0.05524442930170174,-0.37422059360997867,1.0024694612573337,0.5674229612881673,1.4885087625743003,-0.23879692306922093,-0.31670353855548655,0.49963922573754216,0.35531421468269897,-0.029636367651068148,
DS013,GSE210776,Healthy,-0.9405088213231435,0.8340990896535699,-0.4070217116457459,0.7949479788541827,0.8967266842585815,1.1312747618619121,-1.0745865012096407,-1.513767855088059,-0.6792547401486021,0.8288860328839887,0.09493097130578104,-0.00869588726480744,-0.7694085888875442,-1.1346550631203627,
DS014,GSE210776,CFA,-0.48838809784983656,0.4735466816470873,-0.049190665071131345,0.5715462291470529,0.25149814611456955,0.8909046154688998,-0.4843275624778427,-0.26118201014215964,-0.7202839898801203,0.5192379177467024,0.1147353952902198,-0.0031222429153861878,-0.23763503582919915,0.21780276090346104,
