celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
Neutrophil,Chemokine,NR_vs_R_remission,0.773394416052082,0.07272727272727272,4,7,0.7142857142857143,0.3818181818181818
Neutrophil,VEGF_angiogenic,NR_vs_R_remission,0.547688916521855,0.27565397588602036,4,7,0.42857142857142855,0.6431926104007142
Monocyte,IFN_antiviral,Acute_vs_R_recovery,0.7345187758436634,0.05714285714285714,4,4,0.875,0.07999999999999999
Monocyte,IFN_antiviral,Acute_vs_All_recovery,0.8178036676337785,0.031746031746031744,4,5,0.9,0.07407407407407407
Monocyte,IFN_antiviral,R_remission_vs_recovery,-0.12009158055305516,0.7531135531135531,11,4,-0.13636363636363635,0.8786324786324786
Monocyte,IFN_antiviral,NR_vs_R_remission,0.9229211362747628,0.2160633484162896,6,11,0.3939393939393939,0.3185209053820454
Monocyte,TNF_NFkB,Acute_vs_R_recovery,1.1680373982429513,0.05714285714285714,4,4,0.875,0.07999999999999999
Monocyte,TNF_NFkB,Acute_vs_All_recovery,0.8817246287104861,0.06349206349206349,4,5,0.8,0.08888888888888888
Monocyte,TNF_NFkB,R_remission_vs_recovery,0.08044660754009308,0.9494505494505494,11,4,0.045454545454545456,0.9494505494505494
Monocyte,TNF_NFkB,NR_vs_R_remission,0.5416463168803965,0.07821590174531351,6,11,0.5454545454545454,0.18250377073906487
Monocyte,IL1_IL6,Acute_vs_R_recovery,1.501547345118439,0.02857142857142857,4,4,1.0,0.07999999999999999
Monocyte,IL1_IL6,Acute_vs_All_recovery,1.4027782105255093,0.015873015873015872,4,5,1.0,0.05555555555555555
Monocyte,IL1_IL6,R_remission_vs_recovery,0.8232106530839755,0.010256410256410256,11,4,0.8636363636363636,0.07179487179487179
Monocyte,IL1_IL6,NR_vs_R_remission,-0.2891462384732339,0.4043309631544926,6,11,-0.2727272727272727,0.4717194570135747
Monocyte,TGF_remodeling,Acute_vs_R_recovery,0.2996861951114713,0.2,4,4,0.625,0.2
Monocyte,TGF_remodeling,Acute_vs_All_recovery,0.30430216302874513,0.19047619047619047,4,5,0.6,0.19047619047619047
Monocyte,TGF_remodeling,R_remission_vs_recovery,0.2670185881713365,0.34285714285714286,11,4,0.36363636363636365,0.48
Monocyte,TGF_remodeling,NR_vs_R_remission,-0.09356443366280075,0.9612152553329023,6,11,0.030303030303030304,0.9612152553329023
Monocyte,Myeloid_proteolytic,Acute_vs_R_recovery,0.9473270632457549,0.02857142857142857,4,4,1.0,0.07999999999999999
