mapping,scope,n_genes,spearman_rho,ci_low,ci_high,p_value,same_direction_fraction,ci_method
Uppercase-symbol match,All shared genes,11633,0.19721073287241156,0.17968235246211717,0.2146139263147149,2.425300134751999e-102,0.5762056219375913,Fisher z
HCOP reciprocal 1:1; Ensembl+NCBI support,All shared genes,7705,0.1868056121644923,0.1651653043546572,0.20826613652271006,1.871904377489296e-61,0.5770279039584685,Fisher z
Uppercase-symbol match,Prespecified focused genes,43,0.2434309876170341,-0.10186767485822305,0.5359044031088049,0.11571587327934159,0.6046511627906976,"bootstrap (2,000 resamples)"
HCOP reciprocal 1:1; Ensembl+NCBI support,Prespecified focused genes,29,0.36896551724137927,-0.031117372435887854,0.692917319253355,0.04887691509985932,0.6896551724137931,"bootstrap (2,000 resamples)"
