endpoint,n_IgG,n_r84,IgG_mean,IgG_sd,r84_mean,r84_sd,r84_minus_IgG,hedges_g,g_ci_low,g_ci_high,p_exact_two_sided,FDR_within_family,family
Venous endothelial proliferation,9,9,32.85696599869489,32.530376217020816,3.810239249579894,3.9051608761461107,-29.046726749114995,-1.1940617799390374,-2.2064126095346603,-0.18171095034341422,0.0031262854792266557,0.00390785684903332,vascular target engagement
Venous coverage,9,9,37.82433428367451,5.999410187988131,21.814988932659976,6.5396668559418325,-16.009345351014534,-2.429662567740955,-3.6796126767726443,-1.179712458709266,0.00012340600575894693,0.0003085150143973673,vascular target engagement
Endomucin coverage,9,9,2.455587301587302,1.210679085294141,0.7632535273368607,0.17864167657551627,-1.6923337742504416,-1.8625398963864683,-2.9895487364174276,-0.7355310563555091,4.113533525298231e-05,0.00020567667626491154,vascular target engagement
IgG leakage,9,9,2.223235462962963,1.9553236727974042,1.4409074074074075,1.4543176675984397,-0.7823280555555554,-0.43239674879416845,-1.3684171925027657,0.5036236949144288,0.37338543809132047,0.7467708761826409,permeability
Venous width,9,9,27.56979761904762,7.056612679322008,19.479493386243384,2.822885225592132,-8.090304232804236,-1.4337062553634887,-2.48273118346121,-0.3846813272657672,0.0030028794734677086,0.00390785684903332,vascular target engagement
Ki67-positive endothelial cells,9,9,1.865785026728395,1.188278722426924,0.7897310066957672,0.3617295284216443,-1.0760540200326278,-1.166802301006468,-2.1753300762439425,-0.15827452576899392,0.011559029206088029,0.011559029206088029,vascular target engagement
Fibrinogen leakage,9,9,6.70192561,2.690092490765636,6.899680102407407,4.02360845427456,0.19775449240740706,0.05503041373352276,-0.8691191639207076,0.9791799913877532,0.913944878650761,0.913944878650761,permeability
