source,endpoint,group,mouse,n_fields,mouse_mean
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 4,4,1.610125
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 5,3,6.8653
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 6,4,3.206875
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 7,3,0.7521666666666667
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 8,4,2.10655
"Shahriar et al. 2024, Figure 7",IgG leakage,IgG,Mouse 9,3,2.2388999999999997
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 1,5,2.7431999999999994
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 2,4,0.356575
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 3,3,0.7039666666666667
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 4,4,0.271625
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 5,3,3.9789
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 6,3,0.28413333333333335
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 7,3,0.4137666666666666
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 8,3,1.0094333333333334
"Shahriar et al. 2024, Figure 7",IgG leakage,r84,Mouse 9,3,3.206566666666667
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 1,9,34.74777777777777
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 2,8,26.29875
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 3,7,28.324285714285715
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 4,5,25.377999999999997
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 5,9,40.922222222222224
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 6,7,18.75
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 7,7,18.87
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 8,7,29.42428571428572
"Shahriar et al. 2024, Figure 7",Venous width,IgG,Mouse 9,7,25.412857142857142
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 1,5,19.559999999999995
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 2,5,22.856
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 3,9,21.754444444444445
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 4,5,22.384
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 5,5,14.197999999999999
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 6,7,20.99285714285714
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 7,7,17.569999999999997
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 8,9,17.48888888888889
"Shahriar et al. 2024, Figure 7",Venous width,r84,Mouse 9,8,18.51125
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 1,5,4.270508443999999
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 2,7,1.7757325914285713
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 3,5,1.093111392
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 4,7,1.6403502185714285
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 5,9,2.0236229755555555
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 6,8,0.52997057
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 7,4,2.7696490325000003
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 8,5,0.4259287540000001
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,IgG,Mouse 9,4,2.2631912625
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 1,5,1.307582994
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 2,5,0.80032464
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 3,4,0.37345573249999997
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 4,5,0.339727334
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 5,5,0.7419883119999999
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 6,7,0.4541648714285714
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 7,4,0.7541612849999999
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 8,5,1.179468168
"Shahriar et al. 2024, Extended Data Figure 7",Ki67-positive endothelial cells,r84,Mouse 9,6,1.1567057233333333
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 1,3,3.1788673999999997
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 2,4,4.2931547075
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 3,4,7.601575375
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 4,4,11.61369726
