GSE199460__GSE210776,GSE199460__GSE95401,GSE199460__GSE279183,GSE199460__Macnair_All_EC,GSE210776__GSE95401,GSE210776__GSE279183,GSE210776__Macnair_All_EC,GSE95401__GSE279183,GSE95401__Macnair_All_EC,GSE279183__Macnair_All_EC,mean_within_mouse,mean_mouse_human_first,mean_mouse_human_validation,mean_mouse_human_all,within_minus_all_cross,pooled_mouse__GSE279183,pooled_mouse__Macnair_All_EC,n_genes
0.37057833319290867,0.3486655677787,0.14712392677556982,-0.10472507486686224,0.2627348908730146,0.0819689825520001,-0.02299779094283195,0.1725212220817548,-0.06676748647641054,0.021633380874645572,0.3273262639482078,0.13387137713644157,-0.06483011742870158,0.03452062985386999,0.2928056340943378,0.16378198582644635,-0.08467637450016174,6548
0.21928851792609708,0.32491361074528363,0.1838599513970395,-0.09169419861452925,0.1367149705666371,0.04287660452302797,0.015507058048711497,0.19126587101915435,-0.008385960440999185,0.059378888062025084,0.2269723664126726,0.13933414231307395,-0.028191033668938978,0.05557155432206748,0.17140081209060512,0.21526809628974902,-0.04734086202380905,6542
0.4593080918892346,0.42717828888383175,0.14428512358712764,-0.011423873615178885,0.21939119003503763,0.0993072810898303,0.02970526424150347,0.1538289329684153,-0.014950105093140733,-0.001913605659473681,0.3686258569360346,0.1324737792151244,0.0011104285110612837,0.06679210386309285,0.30183375307294175,0.17564742729963753,0.00253498284286528,6602
0.3128867805199385,0.43918114375503214,0.14822394198839717,-0.02935020196175731,0.14812244720736714,0.013587344167299086,0.025400015527701405,0.1353939030152047,-0.022084082126599226,0.042123899771910375,0.30006345716077926,0.09906839639030034,-0.008678089520218377,0.04519515343504097,0.25486830372573827,0.11867415121103386,-0.008753032192152274,6585
0.23551151592973488,0.22870443628685627,0.1198411885461344,-0.008916856133533005,-0.09535209558090173,0.027790801246645055,0.018385003381463306,0.06096147047679492,-0.052894073195386956,0.043100326471505516,0.12295461887856314,0.06953115342319147,-0.014475308649152219,0.02752792238701962,0.09542669649154352,0.0952340849841155,-0.019964920825937406,6582
0.4629745694562488,0.3975853698473528,0.14863602767665773,-0.01906439148923435,0.1746566593771154,0.03303767437833926,0.023563107543325558,0.19030386017428613,-0.04259029886243915,-0.12791432691327145,0.34507219956023905,0.12399252074309437,-0.012697194269449314,0.05564766323682253,0.2894245363234165,0.17010733045637827,-0.01512712698603776,6601
0.04802490351955963,0.2126801660757072,0.16617914930697505,-0.02184378184157986,-0.002016552697149367,0.03857713532743527,0.03417529679003055,0.05968270693919402,0.010259729117074652,0.08074797256531906,0.08622950563270583,0.08814633052453479,0.0075304146885084465,0.04783837260652162,0.03839113302618421,0.15726199194778676,-0.00010164924378235146,6547
,,,,,,,,,,,,,,,,,0
0.3003414910398835,0.2624209661986865,0.07582504728676204,0.0016428869509874072,0.019537356536630156,0.00016672854700398797,0.007319105459529429,0.11455281292465638,-0.10244836472584133,0.029111547164480854,0.19409993792506672,0.06351486291947413,-0.031162124105108168,0.016176369407182988,0.17792356851788374,0.0721294177702768,-0.030504597268522955,6553
0.3549608125009615,0.19252263367316538,0.16288859915638096,-0.09758310276280027,-0.018966040081486335,0.05586269438529775,-0.02917048106211098,0.04096899671524036,-0.0739837213989403,0.047217600030697186,0.17617246869754685,0.08657343008563968,-0.06691243507461718,0.009830497505511251,0.1663419711920356,0.13200613432638228,-0.10032153727108589,6544
,,,,,,,,,,,,,,,,,0
0.5201499264276586,0.33615512507747114,0.09902573192597697,-0.02556056620423555,0.21699761412184826,0.07565326424680409,-0.015477722200277952,0.2075490388905463,-0.10444724272330312,-0.07501318636116829,0.35776755520899267,0.12740934502110912,-0.04849517704260554,0.03945708398925179,0.3183104712197409,0.17071511615839716,-0.06521510184499608,6558
0.2078631264676441,0.3320433084320683,0.09634918366077076,-0.08445982434851448,0.1412215643976133,0.049478992575480794,-0.0006220807858430422,0.13371418392032489,-0.08757971862027561,0.007652319096195723,0.22704266643244195,0.09318078671885881,-0.05755387458487771,0.017813456066990554,0.2092292103654514,0.139552453947256,-0.08737900406561105,6571
,,,,,,,,,,,,,,,,,0
0.4671381791852762,0.3154220093952977,0.20599058166592168,0.004227375509579383,0.15006491754722986,0.1310788228670335,0.012119791157951709,0.1726783714617204,-0.04362673137666547,0.014612903380103558,0.3108750353759346,0.16991592533155853,-0.009093188236378126,0.0804113685475902,0.23046366682834438,0.2251420028428823,-0.011816587399642125,6579
0.4801253724195237,0.2055621561949115,0.09366761192227013,0.006337595992624558,0.05543890935622913,0.06747048360869871,0.012955822406949594,0.0664059629389482,-0.03181510610537388,-0.10688139820348071,0.24704214599022142,0.07584801948997234,-0.004173895901933243,0.035837061794019555,0.21120508419620188,0.1033844171399907,-0.013273379368881578,6594
0.3859792412272991,0.2708560214896549,0.1652386898341432,-0.055709272789188614,0.0782821018582143,0.06940703394264698,-0.013514541354265112,0.07506285036495128,-0.02516293718647025,-0.08739219910389567,0.2450391215250561,0.10323619138058049,-0.03146225044330799,0.03588697046863625,0.20915215105641985,0.14498079545781073,-0.04105459750467826,6598
0.48149325444035773,0.3628291626860648,0.06387327368184537,0.032185955711969576,0.2743332311612515,0.07252782924154728,0.03532829468955176,0.1767490948768165,0.017592026235955106,0.17053861221840053,0.37288521609589137,0.10438339926673638,0.028368758879158813,0.06637607907294761,0.30650913702294375,0.14654459659850472,0.03577777662224656,6585
0.41638614297276494,0.3253401335835538,0.08485235382460311,-0.02850039027115667,0.24340550780576503,0.11753527112126336,0.06140025996049878,0.18432646472089317,0.0028269344589445695,0.176288707661876,0.3283772614540279,0.12890469655558656,0.011908934716095559,0.07040681563584104,0.25797044581818684,0.17730078921641718,0.02038630280673526,6579
0.31704251980245374,0.334850280807773,0.17852098982307527,-0.08392250228459512,0.044880163228801506,0.025395811848065053,0.01028723626120606,0.13091716007103363,-0.056400503536689184,-0.021661587438935693,0.2322576546130094,0.11161132058072465,-0.043345256520026076,0.03413303203034928,0.19812462258266011,0.16559947431115488,-0.060024865794798064,6562
0.3632191801531368,0.39456033450146755,0.14464653616559103,-0.07863663206090385,0.27892424040353647,0.09409062014047503,0.0024362715904189874,0.1699883661522496,-0.033603511860149114,0.011868026267975805,0.3455679183527136,0.13624184081943855,-0.036601290776877994,0.04982027502128028,0.29574764333143333,0.18908929238258007,-0.04781594141175613,6536
0.11624909818013104,0.3480529342176886,0.10716428444776137,-0.09399168690640343,0.056927910659522935,0.026443115009002205,0.012898935153463053,0.12501022786594734,-0.04290588245490695,-0.07149030960121329,0.17374331435244753,0.08620587577423698,-0.041332878069282444,0.022436498852477265,0.15130681549997027,0.13238187829754858,-0.06760715579339703,6583
0.40005497332004614,0.39954503773003813,0.17207704967145776,-0.08449813123949598,0.14339842557870427,0.05389883199581735,-0.017261802814835723,0.18831632635979928,-0.09651803813204095,-0.02635485989213318,0.3143328122095962,0.13809740267569146,-0.06609265739545755,0.03600237264011696,0.2783304395694792,0.1827363894840234,-0.08597457641302055,6568
0.5059065610941084,0.16299334244583658,0.156811744255203,0.004649709111472797,0.045149401305312885,0.07362144099747128,0.017006166490751384,0.025660649746505868,-0.015542652507554898,-0.025307665930858134,0.2380164349484193,0.08536461166639338,0.002037741031556428,0.04370117634897491,0.19431525859944437,0.1276959789197785,-0.006244810933881192,6536
0.42396530083606876,0.22742125879831585,-0.03207589547199246,0.04713924983157634,0.19805595486443192,0.03464920423943996,0.029418271150575066,0.11593579682262146,0.013938978006755058,0.08793679999107754,0.2831475048329389,0.039503035196689656,0.03016549966296882,0.03483426742982924,0.24831323740310965,0.05031628421561007,0.04644814267251261,6516
0.4878483977010857,0.20692536345239143,0.1112493348224324,-0.07381385987165191,0.04649961660028052,0.06513310201123712,-0.021810251205102993,0.006741043027992184,-0.07777542967931343,-0.0506322340683774,0.24709112591791924,0.06104115995388724,-0.057799846918689446,0.0016206565175988948,0.24547046940032033,0.08809524937204752,-0.08837654649822674,6570
