CellType,Tgfb1,Vegfa,Tnf,Il1b,Ifng,Ccl2,Cxcl10,Angpt2
Monocyte/Macrophage,0.46400132429068736,0.2111272234966962,0.5182593812954155,2.4315863098715726,0.015049979537952632,0.15703540421024437,0.6888437910924395,-0.010615188687117433
Microglia,-0.15248622105950305,-0.011316973886235515,0.26039865549703844,0.42486535332376,0.005587386056007474,0.8325497365677013,0.5011575704456912,0.0002004696908961697
T/NK,0.4500390550170482,-0.029107315551894906,0.27646636264346874,0.049644564618526565,0.3159272587257155,0.024760563320548455,0.06514462038359345,0.001964454825717525
B cell,0.375623985768541,0.1474974547077777,0.08419802370369955,1.0705003062574074,0.014767297596711406,0.21830094173935594,0.3524586593416024,-0.0018276738295325383
Astrocyte,0.015299468100458211,-0.06402289815113138,0.018952645694793026,0.09314387431843514,0.007905827475578182,0.05469454071771883,0.11715181533779566,0.004792843731504671
Endothelial,0.1347920943663442,-0.003672577244322659,0.02279701260629594,0.06535711380384669,0.006792070874615814,0.03106624832134679,0.10951674523146143,0.06673058499034384
