subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Venous,Tight_junction,0.2764316995938618,0.02857142857142857,1.3645206093788147,1.6409523089726765,4,3,0.12142857142857143
Venous,BBB_transport_identity,0.11300454537073779,0.2,1.1359172463417053,1.248921791712443,4,3,0.3578947368421053
Venous,Caveolae_structural,0.14724550147851312,0.08571428571428572,0.5830331295728683,0.7302786310513815,4,3,0.22417582417582416
Venous,PLVAP_permeability,-0.02467417623847723,0.11428571428571428,0.08261858578771353,0.0579444095492363,4,3,0.24285714285714285
Venous,Adhesion_trafficking,0.08595792949199677,0.45714285714285713,0.8249113708734512,0.910869300365448,4,3,0.5756613756613757
Venous,IFN_antigen_presentation,-0.05501128236452735,0.6571428571428571,0.7888951599597931,0.7338838775952657,4,3,0.72073732718894
Venous,Wnt_BBB,0.21829945966601372,0.02857142857142857,0.2740015871822834,0.4923010468482971,4,3,0.12142857142857143
Venous,TGF_response,0.029723428189754486,0.14285714285714285,0.3009518161416054,0.33067524433135986,4,3,0.2857142857142857
Venous,VEGF_response,0.10075826197862625,0.05714285714285714,0.4731253311038017,0.573883593082428,4,3,0.19428571428571428
Venous,ROS_Src,0.031778727968533815,0.42857142857142855,0.35290132462978363,0.38468005259831745,4,3,0.5756613756613757
Venous,ECM_protease,-0.0233494583517313,0.5714285714285714,0.1335738692432642,0.1102244108915329,4,3,0.6476190476190475
Venous,Mfsd2a,0.03559430626531443,0.2857142857142857,0.12578867189586163,0.16138297816117605,4,3,0.4625850340136054
Venous,Cav1,0.2531142284472784,0.08571428571428572,0.7175561934709549,0.9706704219182333,4,3,0.22417582417582416
Venous,Cav2,0.060399698714415195,0.5142857142857142,0.6339121982455254,0.6943118969599406,4,3,0.6244897959183673
Venous,Plvap,0.011321088764816523,0.3142857142857143,0.026366735342890024,0.03768782410770655,4,3,0.4857142857142857
Venous,Cldn5,0.4288761019706726,0.02857142857142857,2.9705622792243958,3.3994383811950684,4,3,0.12142857142857143
Venous,Lsr,0.044081106781959534,0.4,0.9002647250890732,0.9443458318710327,4,3,0.5666666666666668
Venous,Abcg2,0.3865121901035309,0.02857142857142857,1.5305070579051971,1.917019248008728,4,3,0.12142857142857143
Venous,Axin2,0.04437447090943655,0.11428571428571428,0.11020461469888687,0.15457908560832342,4,3,0.24285714285714285
Venous,Reck,-0.011534841110308974,0.7714285714285715,0.2164008878171444,0.20486604670683542,4,3,0.8196428571428572
Venous,Vcam1,0.0666872362295785,0.9142857142857143,2.0198314487934113,2.0865186850229898,4,3,0.9419913419913419
Venous,Icam1,0.10614768664042162,0.34285714285714286,1.4581984281539917,1.5643461147944133,4,3,0.506832298136646
Venous,Cxcl9,-0.2004016836484273,0.17142857142857143,0.6016285717487335,0.4012268881003062,4,3,0.32380952380952377
Venous,Cxcl10,-0.1651296429336071,0.2857142857142857,0.5475490801036358,0.3824194371700287,4,3,0.4625850340136054
Venous,Stat1,0.17018794516722358,0.45714285714285713,0.6580963581800461,0.8282843033472697,4,3,0.5756613756613757
Venous,Irf1,0.1249384880065918,0.5428571428571428,0.8765951991081238,1.0015336871147156,4,3,0.6364532019704433
Venous,B2m,-0.38749615351359035,0.08571428571428572,3.325728178024292,2.9382320245107016,4,3,0.22417582417582416
Venous,H2-Aa,-0.21454441795746484,0.02857142857142857,0.3896835222840309,0.17513910432656607,4,3,0.12142857142857143
Venous,H2-Ab1,-0.21127542108297348,0.02857142857142857,0.4034551754593849,0.19217975437641144,4,3,0.12142857142857143
Venous,Angpt2,-0.1023584951957067,0.11428571428571428,0.2622600495815277,0.15990155438582102,4,3,0.24285714285714285
Venous,Esm1,-0.019164040801115334,0.05714285714285714,0.01950027421116829,0.00033623341005295515,4,3,0.19428571428571428
