dataset,contrast,module,case,control,n_case,n_control,mean_difference,p_exact,cliffs_delta,hedges_g,var_g,ci_low,ci_high,FDR_BH
GSE210776,Acute_EAE_vs_CFA,Endothelial_immune_activation,Acute,CFA,4,3,1.3578479756034936,0.05714285714285714,1.0,2.8955693777494544,1.4217655354693697,0.5585083000154705,5.232630455483438,0.08571428571428572
GSE210776,Acute_EAE_vs_CFA,BBB_specialization,Acute,CFA,4,3,-0.6735912984355522,0.02857142857142857,-1.0,-2.7477081056907386,1.338323316741192,-5.015152229278565,-0.48026398210291266,0.08571428571428572
GSE210776,Acute_EAE_vs_CFA,Structural_ECM_remodeling,Acute,CFA,4,3,0.2898051633776671,0.2857142857142857,0.5,0.7983391680325705,0.6470678760548271,-0.7782952070373833,2.3749735431025245,0.2857142857142857
GSE210776,Chronic_EAE_vs_CFA,Endothelial_immune_activation,Chronic,CFA,4,3,0.9708764188769778,0.02857142857142857,1.0,6.652011407886559,5.0082589103986255,2.265700038388566,11.038322777384552,0.08571428571428572
GSE210776,Chronic_EAE_vs_CFA,BBB_specialization,Chronic,CFA,4,3,-0.39678485871636293,0.37142857142857144,-0.5,-0.7159282254717976,0.634588655736053,-2.277285256991373,0.8454288060477781,0.37142857142857144
GSE210776,Chronic_EAE_vs_CFA,Structural_ECM_remodeling,Chronic,CFA,4,3,0.520337111329352,0.11428571428571428,0.8333333333333334,1.3864372070379118,0.7755541462392419,-0.339647613645206,3.1125220277210297,0.17142857142857143
GSE199460_all,Acute_EAE_vs_control,Endothelial_immune_activation,Acute,Control,2,3,1.5907947736234729,0.1,1.0,5.301636520679174,5.517891632899863,0.6975587088966542,9.905714332461693,0.15000000000000002
GSE199460_all,Acute_EAE_vs_control,BBB_specialization,Acute,Control,2,3,-0.7072339669264054,0.1,-1.0,-2.6731265601636256,2.024267601108703,-5.461751026888967,0.11549790656171544,0.15000000000000002
GSE199460_all,Acute_EAE_vs_control,Structural_ECM_remodeling,Acute,Control,2,3,0.11536485336735353,0.8,0.0,0.17968360126654234,0.838714366094019,-1.6153108579969906,1.9746780605300753,0.8000000000000002
GSE199460_venous,Acute_EAE_vs_control,Endothelial_immune_activation,Acute,Control,2,3,1.5729819581476963,0.1,1.0,4.3908142283041345,4.046541597913005,0.4480747996146608,8.333553656993608,0.15000000000000002
GSE199460_venous,Acute_EAE_vs_control,BBB_specialization,Acute,Control,2,3,-0.6654577519694029,0.1,-1.0,-2.8772793735616475,2.213122765587218,-5.793086708808587,0.0385279616852916,0.15000000000000002
GSE199460_venous,Acute_EAE_vs_control,Structural_ECM_remodeling,Acute,Control,2,3,0.13007283247276372,0.8,0.0,0.17593385635956166,0.8384921203022578,-1.6188227648437574,1.9706904775628806,0.8000000000000002
GSE95401,Acute_EAE_vs_control,Endothelial_immune_activation,Acute,Control,3,3,1.09640292599672,0.1,1.0,1.8352688514318996,1.087693136296187,-0.20886469420435172,3.8794023970681506,0.15000000000000002
GSE95401,Acute_EAE_vs_control,BBB_specialization,Acute,Control,3,3,-0.7607396708098199,0.3,-0.5555555555555556,-0.8232553335475521,0.751385334693478,-2.522232055506527,0.8757213884114232,0.3
GSE95401,Acute_EAE_vs_control,Structural_ECM_remodeling,Acute,Control,3,3,0.4810362896371565,0.1,1.0,1.4945408769970079,0.9458732207935399,-0.41167699224052057,3.400758746234536,0.15000000000000002
GSE95401,Subacute_EAE_vs_control,Endothelial_immune_activation,Subacute,Control,3,3,1.482662073829554,0.1,1.0,6.639964140174614,6.177807139517268,1.7683459380605013,11.511582342288726,0.10000000000000002
